oshpd_id9,oshpd_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,ASSEMBLY_DIST,SENATE_DIST,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Childrens_or_Cancer_Center,Died,Home_Health_Service,Hospice_Care,Other_Care,Other_Unknown,Prison_Jail,Psychiatric_Care,Residential_Care_Facility,Routine,SN_IC_Care,Not_Defined_Elsewhere,Critical_Access_Hospital,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,Dx_Invalid,Dx_Births,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,All_Other,English,Spanish,a_Sex_Female,a_Sex_Male,a_Sex_Unknown,a_sex_Other,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Es,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Unknown,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_Uninsured,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Congenital_anomalies,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Perinatal_disorders,a_Dx_Invalid,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_Natural_Environment,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Undetermined,a_EC_Fire_Accidents,a_EC_War,Inpatient_from_ED,a_All_Other,a_English,a_Spanish,datayear
106010987,010987,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVENUE,FREMONT,94538,,NO,20,10,2l,,05 - East Bay,Alameda,General Acute Care,District,General Medical / Surgical,359,Basic,23725,18966,,,6205,4341,6626,6142,5717,4864,2914,2155,2395,1330,2,4742,4923,8055,53,7900,88,16930,213,365,,75,90,,1,,276,625,,40524,522,,,16461,7315,2181,10332,6402,1115,141,1025,3,2156,683,2059,1029,8543,2335,43,3086,1740,70,2377,4655,1752,9879,,,2920,216,237,10,440,77,19,343,33060,3835,171,956,154,242,10,1,42691,1317,39788,1586,3992,3520,,,123,270,405,578,1048,1156,1395,2308,99,130,,2266,482,964,377,,3411,12,110,77,324,968,110,2,184,4311,1425,1,0,0,0,0,0,1141,4508,38,1392,433,48,106,1602,6,1251,336,552,567,660,148,174,169,13,57,1111,215,472,1,24,,426,63,568,4,45,144,10,6069,96,9,20,30,26,2,,,7512,672,6634,206,2011
106013619,013619,SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,SAN LEANDRO,94578,,NO,18,10,2h,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,93,Basic,13532,9435,,,890,1713,4867,3688,3861,3827,1827,1002,1141,151,,1430,12211,3610,176,762,208,4570,211,773,24,61,18,7,,,8,718,,20889,199,59,,3297,4840,8391,2492,3947,516,106,477,4,1310,466,1262,427,4592,2015,36,1267,1138,5,1547,2501,1134,4164,,,1390,127,237,18,548,52,101,174,17690,1697,49,642,137,98,7,,22967,280,21977,710,1745,1456,,,19,126,203,321,543,531,524,934,,,,364,1266,418,44,16,1084,9,130,76,99,353,80,2,53,1742,665,1,0,0,0,0,0,648,2086,25,212,230,3,108,658,1,466,261,206,283,278,45,55,74,3,49,458,75,178,,,,130,54,485,6,7,263,4,2165,39,2,5,9,31,,1,,3201,172,2890,139,2011
106014050,014050,VALLEYCARE MEDICAL CENTER,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,,NO,18,10,2k,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,167,Basic,13010,11205,,,3198,2814,3938,3388,3586,2543,1807,1114,1246,581,,2499,1674,3898,69,1014,65,14996,433,185,,52,2,,,,,585,1,22949,8,,,4574,3558,1659,11092,3332,649,51,554,1,1198,266,1300,521,6952,964,20,1498,1081,34,1101,2116,800,5109,,,2149,172,224,10,304,14,144,274,16360,3250,224,769,129,164,28,,24215,578,22286,1351,2045,1717,,,60,154,191,410,516,609,690,1029,38,65,,351,170,305,103,10,2815,8,145,35,184,394,54,47,46,2198,627,32,0,0,0,0,0,401,2025,153,1024,159,38,55,772,,667,122,177,329,320,78,83,120,1,47,630,117,194,,12,,179,36,410,1,10,239,12,2755,53,12,13,22,10,8,2,,3762,163,3479,120,2011
106034002,034002,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,95642,,NO,10,1,4,,06 - North San Joaquin,Amador,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,52,Basic,8728,7181,,,1599,1637,2322,1929,2041,2223,1533,1117,1225,283,,81,92,585,91,23,4,15033,612,73,,30,,,,10,184,51,,14949,,,,5094,3518,724,4575,1998,221,30,522,3,1150,337,1004,289,4287,807,29,1114,563,9,425,1938,875,2306,,,1373,171,95,16,75,2,57,428,10958,2116,64,384,42,107,21,,15909,61,15663,185,837,690,,,19,48,58,112,277,242,314,449,1,7,,2,7,26,4,,1478,10,147,20,53,169,6,9,34,871,196,22,0,0,0,0,0,172,997,45,184,129,9,14,305,,279,29,107,208,179,16,16,47,,18,207,42,50,,1,,169,33,31,2,,28,6,1215,11,,5,13,12,,2,,1527,,1524,3,2011
106040802,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,240 SPRUCE STREET,GRIDLEY,95948,Level IV,NO,3,4,9,,01 - Northern California,Butte,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,24,Standby,3641,3090,,,1012,797,933,801,811,706,517,494,515,145,,30,50,1602,54,127,1,4867,,,,,,,,3,,,,6727,,1,,2942,1806,190,1081,712,30,12,174,2,458,97,435,191,1903,421,16,473,91,2,184,839,315,1088,,,511,13,22,7,36,,26,115,4881,910,37,118,13,36,6,,6731,71,5517,1143,348,307,,,11,37,36,74,105,91,134,165,,2,,14,1,94,,,546,,38,8,7,7,7,,1,512,75,,0,0,0,0,0,95,384,5,67,104,1,10,86,,146,37,51,20,57,8,12,15,,18,91,27,76,,,,34,5,5,,,1,3,594,6,,2,4,1,,,,655,10,578,67,2011
106040875,040875,FEATHER RIVER HOSPITAL,5974 PENTZ ROAD,PARADISE,95969,,NO,3,4,8,,01 - Northern California,Butte,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,100,Basic,9590,7230,3,,1727,1531,2537,1879,2117,2266,1570,1234,1525,437,,71,102,438,,10,139,16063,269,254,217,31,9,34,,3,130,,3,15817,56,,,6703,4817,385,3282,1636,268,29,549,2,1025,203,871,309,3900,1106,17,1049,627,18,486,1658,864,3842,,,1351,93,160,12,139,8,26,223,12648,1573,99,357,60,70,4,,16823,4,16794,25,1865,1571,,,46,143,143,285,498,590,653,1028,20,30,,10,15,56,,24,3331,,139,76,67,432,48,1,9,2135,528,1,0,0,0,0,0,477,2163,54,511,231,19,37,690,,572,112,153,329,407,76,96,56,2,39,437,82,329,,,,249,66,268,2,1,11,18,2720,38,5,11,28,9,7,3,,3436,2,3431,3,2011
106040937,040937,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,95966,Level III,NO,3,4,10,,01 - Northern California,Butte,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,133,Basic,14340,11984,,,2784,2682,5083,3879,4123,3617,1733,942,855,626,,662,970,1758,684,324,4,21922,236,711,,43,4,,,,,316,14,24956,44,,,13901,4862,1042,3667,2852,529,41,462,7,1474,333,1355,461,6065,1772,25,3042,628,34,1134,2678,1603,4681,,,1961,124,208,55,362,19,318,430,18934,2815,200,577,117,158,46,,26324,340,25553,431,4303,3506,,,186,557,563,1080,1520,1280,1149,1293,51,130,,203,226,386,76,5,6739,174,199,250,99,228,65,1,18,5938,989,22,0,0,0,0,0,2060,3822,134,888,905,77,88,1103,3,1130,460,419,732,753,199,92,265,10,122,1174,366,812,,4,,314,156,506,19,65,264,27,6145,129,18,41,76,11,30,8,,7809,151,7539,119,2011
106040962,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,1531 ESPLANADE,CHICO,95926,Level II,NO,3,4,7.1,,01 - Northern California,Butte,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,208,Basic,15771,13997,2,,2845,3218,6498,3594,3719,3432,2259,1423,2034,748,,427,1044,4088,339,1300,86,22486,148,428,,76,,1,2,,683,410,1,27751,270,,,9100,6207,2763,8198,3502,483,72,844,17,1709,414,1475,490,7109,1516,43,1595,1073,43,1613,2528,999,7747,,,2133,189,284,22,572,51,24,274,22149,2644,316,846,111,133,22,,29770,421,27862,1487,4624,4289,,,205,596,533,795,1402,1530,1388,2273,62,129,,105,165,727,246,12,7576,82,119,132,319,1013,383,44,10,5480,1410,3,0,0,0,0,0,1400,4968,113,1694,738,71,106,1553,2,1276,354,556,695,1366,223,215,270,2,158,1306,307,443,,10,,606,116,677,91,31,30,32,6817,124,46,247,71,8,13,4,,8913,89,8445,379,2011
106050932,050932,MARK TWAIN ST. JOSEPHS HOSPITAL,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,,NO,25,1,12,,06 - North San Joaquin,Calaveras,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,48,Basic,4297,3925,,,697,1118,1086,887,1034,1226,860,620,596,98,,60,96,577,21,31,61,7376,339,270,14,21,7,1,2,2,,38,2,7493,23,,10,2137,2066,774,2159,1086,33,15,288,3,533,218,432,134,2503,437,29,541,327,10,439,792,397,1091,,,764,70,80,5,80,44,59,138,5478,1057,38,282,48,55,24,,8222,6,8115,101,620,519,,,16,38,36,103,200,199,218,328,,1,,8,10,33,5,7,1072,4,66,15,39,133,20,,1,665,198,2,0,0,0,0,0,141,722,18,150,108,1,20,221,,159,62,56,95,173,12,27,23,1,9,177,38,65,,,,107,33,98,4,5,43,13,758,24,2,9,28,8,7,,,1139,,1130,9,2011
106060870,060870,COLUSA REGIONAL MEDICAL CENTER,199 EAST WEBSTER STREET,COLUSA,95932,Level IV,NO,2,4,15,,01 - Northern California,Colusa,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,42,Standby,2609,2414,,,772,686,681,599,549,461,392,289,380,214,,39,77,2068,91,51,9,2688,180,36,,9,6,,,,63,22,,4668,39,,,1749,1037,332,1515,390,150,9,103,,211,69,182,67,1168,509,10,332,123,3,111,405,168,1403,,,333,10,25,4,47,10,48,88,3577,661,28,140,11,37,4,,5023,18,3731,1274,330,282,,,20,34,61,69,94,85,100,127,7,15,,4,6,169,25,,407,1,32,16,15,29,,2,,429,89,,0,0,0,0,0,121,306,3,97,85,13,7,92,,148,41,51,32,22,6,7,45,,17,98,12,19,,2,,14,7,14,1,,8,4,549,6,,3,2,,4,,,612,8,498,106,2011
106070904,070904,DOCTORS MEDICAL CENTER - SAN PABLO,2000 VALE ROAD,SAN PABLO,94806,,NO,14,9,18f,,05 - East Bay,Contra Costa,General Acute Care,District,General Medical / Surgical,189,Basic,19799,14178,,,3925,3463,5981,5082,4839,4474,2613,1529,1401,670,,2321,13002,9592,34,998,32,7998,531,687,93,76,1,16,,6,,126,,32207,234,,,4856,5635,801,14247,8438,834,261,713,7,2251,846,2109,1059,6721,3002,56,2171,856,17,1365,3832,2002,5874,,1,2200,140,305,20,611,60,122,307,26191,2745,123,893,95,139,26,,33977,531,29448,3998,2791,2497,,,15,162,257,593,1084,971,899,1307,,,,618,1941,736,121,10,1858,4,108,136,214,339,51,,104,3338,923,75,0,0,0,0,0,1009,2970,116,491,702,4,76,1287,,670,265,271,298,473,94,93,83,5,55,953,122,539,,,,242,98,706,9,26,282,21,3751,58,4,12,39,36,2,2,,5288,144,4748,396,2011
