oshpd_id,oshpd_id9,fac_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Other_Care,Residential_Care_Facility,Routine,SN_IC_Care,Hospice_Care,Psychiatric_Care,Critical_Access_Hospital,Childrens_or_Cancer_Center,Prison_Jail,Not_Defined_Elsewhere,Other_Invalid_Blank,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Births,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,a_Sex_Female,a_Sex_Male,a_Sex_Unknown,a_sex_Other,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Native_American_Es,a_Other_Race,a_Unknown_Race,a_White,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Invalid_Blank,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Private_Coverage,a_Uninsured,a_Other_Payer,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Congenital_anomalies,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Perinatal_disorders,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_Natural_Environment,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Undetermined,a_EC_Fire_Accidents,a_EC_War,Inpatient_from_ED,datayear
106013619,106013619,013619,SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,SAN LEANDRO,94578,,NO, 2h,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,93,Basic,12907,8939,2,,892,1807,4281,3533,4113,3344,1523,949,1272,133,1,1433,10857,3138,235,889,259,5037,183,419,68,17,2,,20361,232,2,476,0,24,0,64,,3483,4543,5384,3258,5180,467,1,140,435,1,1287,534,1242,343,4846,1558,54,1627,886,3,1201,2620,1113,3490,1336,117,266,13,590,16,176,199,16224,1938,66,678,118,102,9,,21848,1944,1473,2,,24,110,166,336,559,477,597,1150,,,,350,1139,404,32,52,50,1392,123,74,151,389,100,84,48,1864,586,,0,0,0,0,0,548,2283,366,179,43,5,70,698,,518,242,238,243,288,39,68,76,7,65,588,75,199,,,152,54,496,8,7,252,12,2332,49,5,4,20,24,3,1,,3419,2008
106014050,106014050,014050,VALLEYCARE MEDICAL CENTER,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,,NO, 2k,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,137,Basic,12571,11192,,,3213,2702,4001,3598,3646,2418,1433,970,1017,765,,2149,1591,3630,34,960,69,15330,439,169,47,,1,2,22757,5,1,327,0,,0,,15,3892,2905,1650,11894,3422,721,,37,456,,1011,312,1249,582,7119,882,19,1446,1252,26,689,2175,860,4927,2171,98,162,10,328,22,2,283,16055,3270,218,852,94,136,62,,23763,1969,1642,,,85,177,224,436,464,537,588,973,64,63,,266,156,314,6,101,13,2755,128,34,172,351,88,82,45,2130,534,47,0,0,0,0,0,400,1793,1111,185,122,48,33,782,2,600,148,187,244,329,72,70,102,1,47,687,105,143,1,10,185,37,401,3,9,2,12,2849,43,6,15,41,4,4,,,3611,2008
106014132,106014132,014132,KAISER FND HOSP - FREMONT,39400 PASEO PADRE PARKWAY,FREMONT,94538,,NO, 2l,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,106,Basic,10726,8643,,,2154,1969,2557,2636,2791,2470,1754,1437,1229,372,,4295,1544,4028,33,639,355,8475,109,211,11,17,3,5,18512,33,6,197,7,50,0,121,87,1218,3479,202,13406,1064,282,,86,634,13,1080,421,994,288,3855,927,33,1074,415,13,873,1276,458,6647,784,41,103,6,99,14,,89,16801,935,50,335,17,90,5,,19369,1979,1746,,,47,161,227,350,537,626,861,915,,1,,630,222,564,5,38,2,2264,237,36,161,382,33,19,116,2320,420,1,0,0,0,0,0,119,2084,1467,48,7,18,69,768,1,705,164,258,308,301,61,109,67,2,28,544,102,220,,,196,28,343,2,13,,13,3018,62,3,11,18,14,4,,,3725,2008
106034002,106034002,034002,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,95642,,NO,4,, 06 - North San Joaquin, Amador,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,42,Basic,8031,7010,1,,1392,1730,2132,1776,2309,2137,1198,1010,1053,304,1,69,77,453,96,35,8,14304,450,87,24,,,,14442,,,39,0,,0,,,3824,3231,1009,4955,2023,73,,14,426,2,905,147,716,371,4469,922,29,970,430,11,425,1748,712,2672,1417,98,44,25,120,53,10,334,10123,2116,83,447,55,99,18,,15042,933,839,,,34,48,106,208,276,282,313,491,4,9,1,5,10,36,5,4,,1712,124,14,57,111,8,10,9,1190,211,38,0,0,0,0,0,189,1023,348,149,63,19,26,360,,311,81,100,60,190,30,55,46,1,34,255,36,166,1,1,149,28,56,,4,1,6,1493,6,2,8,15,2,2,,,1772,2008
106040802,106040802,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,240 SPRUCE STREET,GRIDLEY,95948,Level IV,NO,9,, 01 - Northern California, Butte,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,24,Standby,4182,3503,,,1114,1032,1016,979,1000,671,497,568,611,197,,25,51,1487,36,174,17,5895,,,,,,,7675,,,,0,,0,,10,3161,1873,210,1672,769,64,,10,179,3,612,101,413,196,2177,480,11,535,118,1,178,1001,416,1190,579,18,28,13,52,1,65,120,5427,1108,48,160,8,50,8,,7685,260,226,,,7,16,25,47,55,90,93,152,,1,,8,5,60,,,,413,33,3,20,3,2,,2,330,93,,0,0,0,0,0,63,333,50,38,2,1,9,67,,63,23,47,13,59,11,8,9,,9,108,20,39,,,36,2,7,,1,3,1,422,6,2,,5,,1,,,486,2008
106040875,106040875,040875,FEATHER RIVER HOSPITAL,5974 PENTZ ROAD,PARADISE,95969,,NO,8,, 01 - Northern California, Butte,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,101,Basic,8211,6469,1,,1188,1477,2019,1705,2063,1914,1269,1148,1593,304,1,50,87,339,,6,78,14121,196,235,39,23,,1,13998,5,1,,0,122,0,58,3,5402,4419,379,3228,1253,169,,29,560,3,952,236,741,248,3714,1008,14,792,376,12,475,1665,809,2878,1409,90,121,12,147,4,10,211,10755,1395,59,353,47,67,1,,14681,1468,1227,,,44,93,114,227,333,409,473,961,14,27,,5,8,44,,1,7,2630,166,39,105,507,38,,9,1378,453,,0,0,0,0,0,354,1779,383,140,39,8,22,525,,435,113,107,474,305,52,53,69,,12,312,48,157,,3,229,51,189,2,2,1,12,2133,38,1,7,26,1,1,2,,2695,2008
106040937,106040937,040937,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,95966,Level III,NO,10,, 01 - Northern California, Butte,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,133,Basic,12559,9931,1,,2161,2615,3797,3128,3948,2819,1525,959,907,632,,577,633,1489,743,279,9,18761,209,380,48,,,2,21556,18,,278,0,,0,,,10731,4295,1206,3868,2391,362,,54,441,9,1307,224,1297,544,5397,1691,9,1635,261,6,998,2296,1373,4587,1592,103,164,51,280,40,8,323,16273,2590,185,585,114,155,28,,22491,3404,2822,,,131,270,371,786,995,1084,1075,1316,68,130,,145,146,259,79,39,2,5556,202,175,140,352,34,1,24,4568,708,22,0,0,0,0,0,1368,3539,689,525,105,67,76,983,2,854,298,367,306,579,143,126,142,5,91,1171,276,734,,6,279,89,363,10,24,14,44,5183,86,19,54,35,20,2,4,,6226,2008
106040962,106040962,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,1531 ESPLANADE,CHICO,95926,Level II,NO,7.1,, 01 - Northern California, Butte,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,208,Basic,10282,9749,2,,1240,2271,4248,2315,2564,2236,1736,1340,1803,280,,209,557,2095,173,812,88,16099,99,221,63,10,14,1,19062,308,1,254,0,,0,,,1882,5484,1266,8109,3292,324,,36,637,7,1157,228,1016,287,5591,1177,37,758,348,5,1013,1541,722,5149,1442,148,190,25,463,49,4,195,14119,2137,214,840,90,105,12,,20033,4044,3776,,,195,430,414,838,1171,1208,1277,2146,45,96,,95,123,641,36,238,27,6660,96,96,325,1057,423,19,58,4553,1187,6,0,0,0,0,0,1246,4376,1424,595,179,45,72,1365,9,1080,339,531,391,1209,194,178,123,7,90,1342,232,604,,9,583,76,441,49,40,15,21,6110,98,42,258,58,9,18,2,,7820,2008
106050932,106050932,050932,MARK TWAIN ST. JOSEPHS HOSPITAL,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,,NO,12,, 06 - North San Joaquin, Calaveras,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,48,Basic,4801,4133,1,3,946,1239,1198,1056,1203,1148,821,586,596,145,,52,93,448,24,53,147,8121,240,159,28,,4,2,8429,3,1,68,2,,0,,2,2043,1852,326,2947,1770,87,,20,245,3,688,134,471,235,2840,539,12,436,346,3,420,1122,398,939,884,89,85,23,75,,58,190,5768,1196,71,338,20,129,12,,8938,719,570,,,26,61,52,119,176,237,266,351,,1,,4,10,45,3,9,18,1200,91,10,54,130,13,1,23,793,171,3,0,0,0,0,0,154,811,200,111,13,,10,288,,168,63,60,68,159,25,27,24,4,33,206,34,120,,,105,16,86,5,4,41,13,944,25,4,19,20,,7,,,1289,2008
106060870,106060870,060870,COLUSA REGIONAL MEDICAL CENTER,199 EAST WEBSTER STREET,COLUSA,95932,Level IV,NO,15,, 01 - Northern California, Colusa,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,42,Standby,2799,2519,,,779,741,786,622,624,504,354,335,348,224,1,42,80,1968,71,41,5,3111,215,33,6,4,,,5006,21,,32,0,,0,,1,1553,1011,463,1607,684,165,1,15,129,5,236,72,185,75,1490,459,18,341,80,4,126,524,185,1208,375,22,38,4,56,33,52,76,3577,794,44,172,25,46,4,,5318,429,301,,,22,46,43,62,89,102,129,203,10,24,,6,6,194,3,12,,509,45,13,17,30,,,9,497,118,1,0,0,0,0,0,115,416,129,63,7,15,6,129,,150,49,77,25,43,17,4,11,1,10,122,16,55,,,25,4,37,2,5,17,6,612,14,2,1,3,,2,,,730,2008
106070904,106070904,070904,DOCTORS MEDICAL CENTER - SAN PABLO,2000 VALE ROAD,SAN PABLO,94806,,NO, 18f,, 05 - East Bay, Contra Costa,General Acute Care,District,General Medical / Surgical,189,Basic,18891,13964,,,3664,3647,6191,4434,5088,4073,2179,1397,1362,816,4,2093,12791,8442,21,975,71,8462,443,675,75,2,,13,31102,100,17,112,0,161,0,152,3,5179,5281,1272,13209,7914,1068,3,183,562,3,1886,664,2150,1047,6518,2722,50,2472,1182,23,1046,3689,1791,5796,1976,136,266,18,839,24,121,304,25275,2666,124,849,95,123,39,,32855,2733,2409,,,30,142,308,580,898,896,920,1368,,,,536,1841,534,,124,9,2098,98,138,261,436,59,,106,2876,880,288,0,0,0,0,0,899,3023,514,364,342,5,105,1268,2,622,269,347,371,397,75,133,77,4,40,797,172,458,,,203,49,592,10,41,308,21,3799,33,3,15,34,28,4,2,,5142,2008
106070924,106070924,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVENUE,MARTINEZ,94553,,NO, 18a,, 05 - East Bay, Contra Costa,General Acute Care,City and/or County,General Medical / Surgical,123,Basic,24894,22901,,,3801,4535,10404,7794,8771,6935,2700,953,443,1459,,2567,7172,15280,287,2229,169,20091,477,438,21,,1,,40183,101,,6574,0,,0,,,19066,3590,13718,3223,8198,1342,,116,842,6,2371,598,2609,1276,6756,3534,157,2649,7980,78,2101,4357,2422,8601,454,21,24,4,203,3,33,130,46085,276,25,437,55,11,34,,47795,2297,2522,,,119,605,565,874,1142,735,411,308,38,22,,453,787,1212,17,8,,2342,163,138,60,33,124,61,135,3971,127,7,0,0,0,0,0,1789,1129,454,1286,161,97,69,676,4,767,308,247,121,376,112,120,111,3,649,491,256,406,1,5,124,62,205,22,14,177,16,4010,67,9,19,67,12,11,4,,4819,2008
