oshpd_id2,oshpd_id,FACILITY_NAME,COUNTY_NAME,Control_Type_Desc,LICENSE_CATEGORY_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,LICENSED_BED_SIZE,RURAL_HOSPITAL_FLAG,TEACHING_HOSPITAL_FLAG,TRAUMA_CENTER_DESC,ASSEMBLY_DIST,SENATE_DIST,MSSA_NAME,MSSA_DESIGNATION,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,ER_SERVICE_LEVEL_DESC,Sex_Female,Sex_Male,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Hospice_Care,Other_Care,Other_Unknown,Prison_Jail,Psychiatric_Care,Residential_Care_Facility,Routine,SN_IC_Care,Childrens_or_Cancer_Center,Critical_Access_Hospital,Not_Defined_Elsewhere,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Unknown_Payer,Dx_All_Pregnancies,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,Dx_Births,Dx_Invalid,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,All_Other,English,Spanish,a_Sex_Female,a_Sex_Male,a_Sex_Other_Unk,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Es,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Unknown,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Unknown_Payer,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Digestive,a_dx_invalid,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Congenital_anomalies,a_Dx_Perinatal_disorders,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Fire_Accidents,a_EC_Natural_Environment,a_EC_Undetermined,a_EC_War,Inpatient_from_ED,a_All_Other,a_English,a_Spanish,datayear,CONTROL_TYPE_CATEGORY_DESC,LICENSED_BED_TOTAL,CONGRESS_DIST,EMS_STATION
106450940,450940,SHASTA REGIONAL MEDICAL CENTER,SHASTA,Investor - Limited Liability Company,General Acute Care Hospital,1100 BUTTE STREET,REDDING,96001,200-299,N,N,Level III, 1 , 1 ,Redding,Urban,N/A,N/A,Emergency - Basic,21531,18600,,2929,3719,7563,6658,5841,6002,3290,2052,1652,425,,519,954,1277,749,1402,394,34836,265,1947,46,26,3,,,,558,,37210,75,1,,,20295,9244,1008,4847,4737,,461,68,802,6,2789,823,2137,716,8055,4251,36,2335,1123,6,2218,3803,2826,7676,,,2747,116,177,24,575,4,215,510,30621,3904,234,653,122,149,80,,40131,68,39937,126,2857,2817,,49,223,298,510,1074,1183,1127,1207,,3,,58,61,130,123,27,5190,85,197,165,198,762,13,,,3601,730,8,0,0,0,0,0,1351,3680,37,480,126,,5,45,1225,893,,215,356,790,552,127,85,223,6,69,734,188,160,,1,,284,80,266,16,36,212,4563,76,4,23,33,9,3,26,43,,5674,18,5624,32,2014,Investor Owned,246,1,26
106450949,450949,MERCY MEDICAL CENTER - REDDING,SHASTA,Nonprofit - Corporation,General Acute Care Hospital,2175 ROSALINE AVENUE,REDDING,96001,200-299,N,N,Level II, 1 , 1 ,Redding,Urban,N/A,N/A,Emergency - Basic,24884,20061,7,5377,4442,7466,6249,5079,5713,3895,2840,2492,1398,1,508,901,2216,734,505,533,39555,217,830,88,67,8,8,,113,310,2,43110,192,1,3,3,21499,10601,1220,7849,3764,19,1474,135,1078,14,3293,617,2651,1027,9590,2339,62,3626,1685,71,1664,4620,2662,8344,,,3079,259,342,36,430,61,303,510,34467,3748,241,1042,199,203,32,,44952,319,44347,286,3470,3739,1,195,397,428,608,1153,1372,1340,1385,106,226,,97,107,246,37,110,6517,96,114,129,322,1304,254,57,,3850,1173,7,0,0,0,0,0,1839,3976,232,996,161,6,115,115,1309,967,,396,473,668,1258,155,217,137,4,62,943,240,130,,5,16,494,107,355,31,24,487,5231,119,27,200,52,38,2,30,13,,7210,30,7121,59,2014,Nonprofit,267,1,25
106470871,470871,MERCY MEDICAL CENTER MT. SHASTA,SISKIYOU,Nonprofit - Corporation,General Acute Care Hospital,"914 PINE STREET, BOX 239",MOUNT SHASTA,96067,1-49,Y,N,Level III, 1 , 1 ,Carrick/Edgewood/Mount Shasta/Weed,Rural,Rural,N/A,Emergency - Basic,3883,3495,1,583,732,1045,850,898,1036,964,613,566,92,,54,221,316,86,230,238,6234,244,171,15,1,8,,,71,27,,6799,43,,,,2812,2230,261,1427,648,1,104,15,304,1,587,106,328,184,1816,384,7,520,297,,301,652,300,1473,,,672,39,120,9,57,8,58,124,5263,803,39,135,20,20,12,,7379,25,7274,80,323,237,,16,36,38,46,101,101,99,106,3,14,,10,18,17,6,13,492,4,22,5,20,31,4,1,,429,48,,0,0,0,0,0,141,317,9,78,15,,10,2,69,111,,32,26,44,76,15,10,9,,11,97,18,28,,,2,42,11,33,2,2,34,416,3,,5,7,1,,4,,,560,4,549,7,2014,Nonprofit,33,1,8
106474007,474007,FAIRCHILD MEDICAL CENTER,SISKIYOU,Nonprofit - Corporation,General Acute Care Hospital,444 BRUCE STREET,YREKA,96097,1-49,Y,N,Level IV, 1 , 1 ,Gazelle/Grenada/Hilt/Hornbrook/Yreka,Rural,Rural,N/A,Emergency - Basic,6961,6061,,1117,1142,2026,1827,1331,1878,1462,1032,1041,166,,78,145,780,777,95,102,11045,785,164,19,,1,1,30,3,61,,11955,,1,,2,5261,3934,994,1469,1364,,171,50,507,8,1216,218,768,369,2854,743,29,730,368,5,625,1528,659,2174,,,1090,75,113,21,174,12,67,182,9699,1155,82,232,54,62,4,,13022,17,12935,70,527,437,,23,38,53,88,182,185,160,211,3,21,,12,4,32,5,6,860,45,76,11,16,76,15,2,11,654,103,,0,0,0,0,0,264,552,28,84,36,,8,11,109,162,,56,49,71,102,15,2,27,,10,238,49,55,,,,80,12,51,5,4,27,741,13,1,9,8,1,1,7,4,,964,2,958,4,2014,Nonprofit,28,1,8
106084001,084001,SUTTER COAST HOSPITAL,DEL NORTE,Nonprofit - Corporation,General Acute Care Hospital,800 EAST WASHINGTON BOULEVARD,CRESCENT CITY,95531,1-49,Y,N,Level IV, 2 , 2 ,Crescent City/Gasquet/Klamath/Smith River,Rural,Rural,N/A,Emergency - Basic,9647,8223,1,1525,1583,2566,2379,2104,2732,1805,1435,1377,365,,157,117,934,840,122,58,15643,671,386,42,24,1,1,27,165,,2,16313,239,,,,7990,4930,1163,2617,1161,10,234,80,646,7,1529,250,1010,419,3589,1486,68,902,676,10,675,1693,1109,3487,,1,1495,68,128,24,258,8,71,189,13673,1370,112,307,68,90,10,,17871,106,17535,230,908,811,,21,95,95,97,203,292,403,458,31,24,,47,9,30,10,2,1560,61,126,18,82,232,14,1,1,1046,195,4,0,0,0,0,0,304,1103,84,197,31,,35,33,286,265,,70,72,291,102,26,10,21,,16,404,66,17,,,5,115,26,69,8,,36,1432,8,,14,3,,,6,2,,1719,19,1685,15,2014,Nonprofit,49,2,11
106121002,121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,General Acute Care Hospital,3800 JANES ROAD,ARCATA,95521,50-99,N,N,, 2 , 2 ,Arcata/Eureka,Rural,N/A,N/A,Emergency - Basic,7635,7132,,1121,1506,3272,2414,1626,1827,1378,802,665,156,,146,425,1040,1688,89,4,11375,334,199,13,10,,,25,131,62,9,13953,7,5,19,,5726,3068,801,3628,1544,,106,37,401,4,822,179,806,363,4067,911,16,796,395,3,724,1521,1112,2503,,1,1122,135,70,11,195,5,42,221,10407,1947,136,343,54,40,39,,14767,61,14568,138,1199,609,,73,353,300,130,254,244,193,225,14,22,,22,32,90,12,1,1370,281,68,51,31,156,12,2,,1411,77,,0,0,0,0,0,749,634,46,359,20,,465,8,179,263,,93,53,145,111,23,22,16,1,26,200,99,97,2,1,4,34,22,37,10,,48,1614,8,2,11,10,1,2,5,4,,1808,4,1784,20,2014,Investor Owned,78,2,7
106121031,121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,General Acute Care Hospital,733 CEDAR STREET,GARBERVILLE,95542,1-49,Y,N,, 2 , 2 ,Garberville/Redway,Frontier,Rural,N/A,Emergency - Standby,1319,1632,,162,216,577,476,404,435,342,177,144,18,,29,60,195,83,3,24,2557,64,119,17,,,,,31,2,,2490,8,160,60,,850,608,116,467,900,10,24,6,101,,190,32,110,70,981,135,2,132,46,1,136,234,301,449,,1,259,32,15,11,46,15,14,203,1793,386,25,120,8,19,5,,2951,23,2872,56,5,9,,1,2,1,1,2,2,1,4,,,,,,1,,,13,,1,,2,,,,,8,3,,0,0,0,0,0,5,6,,1,2,,,,,1,,1,2,1,,,,,,,4,5,,,,,1,,,,,,12,,,1,,,,,,,14,,14,,2014,Government,17,2,2
106121051,121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,General Acute Care Hospital,3300 RENNER DRIVE,FORTUNA,95540,1-49,Y,N,, 2 , 2 ,Ferndale/Fortuna/Rio Dell/Scotia,Rural,Rural,N/A,Emergency - Basic,5869,4973,,829,1064,1796,1566,1316,1437,1165,781,715,173,,43,131,649,381,310,100,9228,127,365,24,7,2,8,,84,30,3,9802,91,,4,295,4283,2595,446,2024,1494,,232,29,332,4,682,140,576,154,2663,666,13,629,370,9,331,1061,752,2199,,,859,106,59,9,122,7,29,223,7914,1071,71,272,17,63,20,,10842,19,10624,199,428,395,,18,41,50,84,149,146,142,174,3,16,,4,4,32,18,6,737,22,53,15,39,108,29,1,12,463,102,1,0,0,0,0,0,233,450,12,115,13,,17,12,106,147,,59,45,88,67,10,13,16,1,26,141,45,30,,,,44,4,62,5,2,36,625,11,1,11,10,1,1,5,5,,823,6,805,12,2014,Nonprofit,35,2,8
106121080,121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,General Acute Care Hospital,2700 DOLBEER STREET,EUREKA,95501,100-149,N,N,, 2 , 2 ,Arcata/Eureka,Rural,N/A,N/A,Emergency - Basic,13402,13070,1,1812,2075,5210,4505,3605,3678,2691,1406,1164,327,,379,784,906,961,917,938,21588,102,1596,44,3,2,31,,342,165,1,23848,6,107,,226,11554,5560,1462,4635,3262,,368,89,689,4,1737,332,1377,447,5869,1802,29,1611,1160,19,1468,2374,2017,5081,,,1937,214,121,25,346,71,187,336,19983,2401,89,547,83,98,35,,26473,84,26272,117,2002,2223,,55,222,301,346,708,929,805,793,21,45,,83,77,73,66,94,3656,176,105,143,153,543,147,5,65,2653,400,11,0,0,0,0,0,1068,2341,157,581,78,,26,47,984,593,,167,263,506,509,72,117,96,4,99,414,154,165,,4,5,302,54,493,30,30,325,2805,67,8,28,31,22,2,17,11,,4225,20,4174,31,2014,Nonprofit,138,2,20
106230949,230949,FRANK R HOWARD MEMORIAL HOSPITAL,MENDOCINO,Nonprofit - Corporation,General Acute Care Hospital,1 MADRONE STREET,WILLITS,95490,1-49,Y,N,, 2 , 2 ,Brooktrails/Pine Mountain/Willits,Rural,Rural,N/A,Emergency - Basic,4085,3930,1,842,877,1219,1085,910,1004,886,553,494,145,1,29,80,718,584,54,34,6517,533,234,11,,1,,,76,1,1,7052,25,82,,,3538,1804,362,1505,799,8,149,36,229,,526,179,349,249,2206,471,21,422,335,4,274,815,458,1291,2,,626,56,69,15,91,21,62,187,5482,1069,62,193,22,51,10,,8016,8,7820,188,373,364,,22,50,66,63,116,133,127,147,,13,,5,1,28,,2,657,44,42,8,17,60,11,,,474,122,3,0,0,0,0,0,217,370,23,109,18,,2,13,82,111,,52,21,50,181,25,15,11,,13,97,45,19,,,,96,12,52,3,5,44,436,34,6,24,9,,,10,6,,737,1,724,12,2014,Nonprofit,38,2,5
