oshpd_id9,oshpd_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Other_Unknown,Prison_Jail,Psychiatric_Care,Residential_Care_Facility,Routine,SN_IC_Care,Childrens_or_Cancer_Center,Home_Health_Service,Not_Defined_Elsewhere,Other_Care,Hospice_Care,Critical_Access_Hospital,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Births,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,Dx_Invalid,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,All_Other,English,Spanish,a_Sex_Female,a_Sex_Male,a_sex_Other,a_Sex_Unknown,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Es,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Unknown,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Dx_Invalid,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_Uninsured,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Congenital_anomalies,a_Dx_Perinatal_disorders,a_Dx_Births,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Natural_Environment,a_EC_Undetermined,a_EC_War,a_EC_Fire_Accidents,Inpatient_from_ED,a_All_Other,a_English,a_Spanish,datayear
106013619,013619,SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,SAN LEANDRO,94578,,NO,2h,,05 - East Bay,ALAMEDA,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,93,Basic,14069,9477,3,,922,1968,4886,3618,4138,3986,1775,884,1244,128,,1419,12525,3637,233,715,416,4604,177,597,54,,8,683,2,21735,201,25,8,53,1,5,,4265,4711,7771,2807,3995,580,1,71,449,3,1348,431,1377,356,4818,1934,31,1745,1067,10,1454,2729,1122,4023,,1402,151,250,11,535,37,134,183,18007,1856,50,715,108,103,6,1,23549,289,22643,617,1896,1517,,1,29,93,158,351,617,541,541,1084,,,,410,1234,427,70,43,1205,25,126,52,134,375,87,61,60,1889,629,1,0,0,0,0,0,0,578,2287,51,269,229,5,74,672,516,266,207,288,318,69,56,68,8,75,456,94,241,1,,,172,33,535,7,11,306,2250,37,1,7,14,31,8,2,,,3414,126,3162,126,2010
106014050,014050,VALLEYCARE MEDICAL CENTER,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,,NO,2k,,05 - East Bay,ALAMEDA,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,167,Basic,12908,11087,,,3206,2631,3793,3526,3505,2732,1650,1095,1250,607,,2326,1546,3883,78,1008,99,15055,402,167,42,2,,457,4,22916,2,,1,,1,1,,4278,3435,1679,10963,3640,686,,32,543,3,1209,288,1319,453,7041,920,20,1583,964,32,998,2150,793,4961,,2204,145,234,12,321,10,158,281,16040,3323,207,781,108,138,33,,23995,645,21900,1450,2260,1856,,,68,157,217,407,555,661,715,1217,40,79,,334,202,345,109,11,3111,4,133,38,180,438,57,124,69,2353,689,35,0,0,0,0,0,0,457,2281,177,1028,173,39,63,852,670,161,219,367,358,73,77,120,1,56,730,131,192,,7,,219,52,368,3,7,200,3125,62,5,10,32,10,13,9,,1,4116,146,3839,131,2010
106034002,034002,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,95642,,NO,4,,06 - North San Joaquin,AMADOR,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,52,Basic,8022,6561,,,1391,1637,2172,1760,2025,1907,1405,997,1023,266,,72,74,515,83,24,6,13809,524,79,25,1,131,43,,13780,,,,,,,,4160,3304,771,4272,2076,198,,30,439,3,981,269,831,265,4292,703,32,949,490,7,430,1756,776,2132,,1248,150,89,19,115,1,58,369,9726,2145,75,424,53,81,30,,14583,50,14372,161,794,699,,,30,50,79,142,200,280,271,427,2,12,,4,7,21,1,,1446,14,151,10,48,154,7,2,21,873,198,29,0,0,0,0,0,0,174,911,55,224,129,11,21,299,283,42,72,146,168,15,24,43,,18,238,36,76,,1,,123,17,42,2,2,38,1213,15,2,5,18,4,8,3,,1,1493,1,1488,4,2010
106040802,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,240 SPRUCE STREET,GRIDLEY,95948,Level IV,NO,9,,01 - Northern California,BUTTE,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,24,Standby,3842,3166,,,1020,889,1040,829,789,705,570,480,504,182,,56,72,1749,38,103,3,4987,,,,9,,,,6999,,,,,,,,3179,1756,256,1094,723,27,,10,155,8,520,83,394,226,1910,408,10,521,117,,182,947,293,1197,,527,14,14,10,30,2,33,120,5144,907,33,122,11,32,9,,7008,84,5597,1327,280,229,,,11,24,22,48,81,96,98,129,,,,10,4,56,,,439,,34,5,10,2,3,,2,394,58,1,0,0,0,0,0,0,76,309,5,77,42,,4,75,81,29,43,11,41,8,7,4,,11,107,17,71,,,,22,8,5,1,,1,457,2,,3,6,1,3,,,,509,3,468,38,2010
106040875,040875,FEATHER RIVER HOSPITAL,5974 PENTZ ROAD,PARADISE,95969,,NO,8,,01 - Northern California,BUTTE,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,101,Basic,8965,6640,3,,1388,1474,2248,1736,2032,2244,1433,1239,1503,309,2,54,70,426,,18,126,14914,222,271,36,2,104,,8,14753,28,175,5,,,4,,6070,4598,385,3062,1493,227,,40,527,2,995,199,827,257,3650,1003,14,940,615,17,506,1549,828,3412,,1288,66,159,12,137,4,11,221,11773,1443,51,326,43,72,2,,15608,19,15559,30,1676,1376,,,64,120,122,268,432,500,556,929,14,47,,17,5,44,2,14,2970,,177,50,74,507,58,,6,1713,467,,0,0,0,0,0,0,395,1972,49,446,190,22,27,650,504,119,113,298,348,60,68,47,,32,469,58,236,,1,,206,57,280,3,,11,2384,38,,12,32,5,10,12,,2,3052,,3047,5,2010
106040937,040937,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,95966,Level III,NO,10,,01 - Northern California,BUTTE,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,133,Basic,12427,10715,,,2508,2612,4367,3161,3600,3004,1499,954,807,630,,616,819,1569,669,313,8,19148,242,559,43,,,277,7,21966,48,,,,,,,11852,4303,1008,3482,2497,429,,25,421,11,1070,337,1313,456,5852,1607,19,1954,565,23,1005,2426,1280,4349,,1822,156,217,32,334,27,202,340,16163,2680,176,664,102,152,74,1,23142,368,22302,472,4135,3504,,,178,483,499,1014,1298,1282,1263,1379,72,171,,219,187,372,73,7,6609,172,201,254,126,307,34,1,13,5745,931,27,0,0,0,0,0,0,1876,4001,130,849,783,134,79,1223,1085,443,399,557,655,174,118,230,8,121,1291,316,798,3,5,,321,127,601,18,47,211,6035,122,15,40,38,15,36,11,,2,7639,176,7330,133,2010
106040962,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,1531 ESPLANADE,CHICO,95926,Level II,NO,7.1,,01 - Northern California,BUTTE,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,208,Basic,15065,13232,1,,2659,3266,6188,3548,3540,3223,2110,1334,1693,737,,390,920,3836,314,1362,126,21350,137,341,58,,543,433,,26397,369,,13,,6,1,,8971,5608,2638,7922,3159,621,,57,728,12,1743,446,1330,409,7046,1583,32,1365,895,53,1493,2451,940,7094,,1947,190,275,26,548,51,23,322,20631,2729,309,972,131,124,20,,28298,414,26359,1525,4511,4119,,,207,541,478,861,1397,1427,1381,2196,48,94,,98,145,675,226,28,7368,90,128,98,312,1023,429,45,28,5269,1291,7,0,0,0,0,0,0,1339,4844,133,1555,759,52,86,1384,1344,362,476,589,1359,216,217,264,5,144,1287,268,560,5,11,1,679,117,539,67,37,26,6650,110,43,228,77,20,24,13,,,8630,81,8191,358,2010
106050932,050932,MARK TWAIN ST. JOSEPHS HOSPITAL,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,,NO,12,,06 - North San Joaquin,CALAVERAS,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,48,Basic,4558,4161,,,809,1354,1146,917,1166,1236,834,594,583,80,,51,104,873,27,33,51,7580,260,190,25,6,,41,4,8146,9,5,3,,5,,25,2259,1980,380,2472,1628,65,1,19,275,,682,144,446,170,2822,476,9,417,396,2,397,887,390,1121,,884,75,86,16,104,11,53,181,5618,1190,64,322,40,65,9,1,8719,33,8564,122,641,531,,,17,46,42,110,187,208,242,320,,,,13,10,43,3,3,1100,,94,11,41,117,17,4,5,692,188,3,0,0,0,0,0,0,179,747,23,159,64,1,17,245,167,88,46,66,168,21,20,24,1,27,181,31,69,,,,108,16,88,3,6,31,844,26,4,17,17,,5,7,,,1172,5,1152,15,2010
106060870,060870,COLUSA REGIONAL MEDICAL CENTER,199 EAST WEBSTER STREET,COLUSA,95932,Level IV,NO,15,,01 - Northern California,COLUSA,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,42,Standby,2590,2551,,,894,707,703,539,541,505,387,307,360,198,,46,69,2077,96,56,2,2795,213,26,7,,45,36,,4744,66,,3,,,1,,1698,1098,304,1548,493,142,,5,130,1,266,74,164,80,1402,312,4,430,127,5,130,556,183,1130,,374,22,38,3,70,22,65,103,3485,738,32,116,20,49,3,1,5141,24,3781,1336,394,288,,,26,55,62,56,101,98,97,164,3,20,,7,2,174,23,,473,3,52,13,22,38,,1,3,458,95,,0,0,0,0,0,0,127,359,4,113,79,23,6,85,165,50,64,29,33,6,8,29,,14,129,17,23,1,,,21,8,31,2,5,12,573,16,,2,7,,3,2,,,682,9,544,129,2010
106070904,070904,DOCTORS MEDICAL CENTER - SAN PABLO,2000 VALE ROAD,SAN PABLO,94806,,NO,18f,,05 - East Bay,CONTRA COSTA,General Acute Care,District,General Medical / Surgical,189,Basic,19197,14057,,,4009,3511,6133,4531,4973,4223,2310,1479,1304,781,,2114,13046,9495,28,871,28,7672,477,653,81,,,133,,31589,222,79,3,,1,16,,5573,5202,850,13481,8148,967,3,144,662,5,2167,713,2083,1113,6311,2763,68,2618,1133,28,1268,3636,1877,5695,,1985,152,302,29,781,84,143,310,25580,2622,133,910,93,101,29,,33254,483,28950,3821,2897,2405,,,20,212,238,578,1057,933,952,1312,,,,639,1978,689,121,10,1862,3,104,127,252,478,52,,114,3209,836,130,0,0,0,0,0,0,1037,2985,185,519,576,3,100,1325,645,306,245,314,447,94,102,97,4,55,872,147,546,,,,189,71,734,13,30,373,3700,78,3,19,35,29,21,2,,5,5302,124,4815,363,2010
106070924,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVENUE,MARTINEZ,94553,,NO,18a,,05 - East Bay,CONTRA COSTA,General Acute Care,City and/or County,General Medical / Surgical,123,Basic,28478,24651,2,,4475,4572,11354,8668,9112,8354,3505,1127,507,1457,,3108,7500,16975,198,2993,94,22263,528,340,21,,,3528,,48599,112,,,3,,,,21121,3683,17032,2986,8309,1494,,83,987,6,3038,754,3155,1556,8139,4476,125,3593,4448,43,1516,6129,3476,10113,,238,16,29,1,157,15,38,186,51797,330,10,220,41,7,46,,53131,1288,42101,9742,2605,2630,,,102,665,640,998,1322,806,398,299,5,,,478,849,1318,54,2,2518,16,174,173,52,101,129,30,141,4265,166,4,0,0,0,0,0,0,1851,1167,213,475,1529,110,78,681,823,319,338,186,331,113,122,144,3,760,486,315,418,3,2,3,117,74,379,19,45,186,4203,74,4,13,71,13,29,6,,2,5235,222,4306,707,2010
