oshpd_id,oshpd_id9,fac_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Other_Care,Residential_Care_Facility,Routine,SN_IC_Care,Hospice_Care,Psychiatric_Care,Critical_Access_Hospital,Childrens_or_Cancer_Center,Prison_Jail,Not_Defined_Elsewhere,Other_Unknown,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Births,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,a_Sex_Female,a_Sex_Male,a_Sex_Unknown,a_sex_Other,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Native_American_Es,a_Other_Race,a_Unknown_Race,a_White,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Invalid_Blank,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Private_Coverage,a_Uninsured,a_Other_Payer,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Congenital_anomalies,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Perinatal_disorders,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_Natural_Environment,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Undetermined,a_EC_Fire_Accidents,a_EC_War,Inpatient_from_ED,datayear,a_English,a_Spanish,a_All_Other,English,Spanish,All_Other
106013619,106013619,013619,SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,SAN LEANDRO,94578,,NO,2h,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,93,Basic,14129,9398,3,,992,2076,4836,3888,4091,3731,1683,901,1182,150,,1498,12023,3575,226,839,296,5073,175,485,65,11,1,,21849,216,3,680,0,33,0,12,,3875,4470,7178,3360,4647,507,1,87,447,3,1360,419,1263,358,4728,1610,38,2432,886,8,1391,3073,1140,3779,1360,125,257,10,558,42,148,175,17960,1847,56,754,135,96,7,,23530,2013,1640,,,12,127,175,419,625,552,561,1182,,,,339,1381,429,23,59,26,1396,138,72,137,353,135,116,47,2026,628,1,0,0,0,0,0,666,2374,346,228,39,6,76,805,3,529,242,261,286,332,54,75,62,10,60,552,89,211,,,188,59,509,5,12,261,7,2496,50,2,5,18,38,1,2,,3653,2009,3447,101,105,22602,645,283
106013687,106013687,013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,"3012 SUMMIT STREET, 5TH FLOOR",OAKLAND,94609,,NO,2m,,05 - East Bay,Alameda,Chemical Dependency Recovery Hospital,Non-Profit Corporation (incl. Church-related),Chemical Dependency (Alcohol/Drug),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,2009,1,,,,,
106014050,106014050,014050,VALLEYCARE MEDICAL CENTER,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,,NO,2k,,05 - East Bay,Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,143,Basic,13141,11441,1,,3628,2987,3977,3598,3543,2530,1505,1000,1024,791,,2248,1615,4057,46,1127,121,15369,435,172,53,,1,,23464,19,1,437,0,,0,,1,4721,2987,1537,11680,3658,678,,39,491,4,1025,265,1240,513,6972,887,21,1491,998,41,893,2855,811,5359,2217,140,178,8,315,12,5,260,16944,3249,218,760,101,132,44,,24583,2200,1838,,,66,148,249,438,585,612,674,1140,46,80,,290,182,365,8,111,13,3069,142,48,177,451,52,130,71,2327,608,32,0,0,0,0,0,425,2163,1117,169,164,46,43,798,1,629,166,241,309,357,96,76,110,6,44,746,104,248,,18,215,41,415,4,5,5,6,3244,40,10,11,30,10,2,,,4038,2009,3708,142,188,21834,1719,1030
106034002,106034002,034002,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,95642,,NO,4,,06 - North San Joaquin,Amador,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,52,Basic,8522,6972,,,1629,1850,2288,1763,2198,2074,1375,954,1052,311,,77,95,531,88,27,3,14673,467,77,23,,,,14882,1,,42,0,,0,,2,4351,3367,819,4791,2166,149,,26,392,1,945,186,781,327,4353,882,20,1134,630,11,411,2131,690,2425,1415,218,97,10,94,12,14,402,10505,2063,71,416,47,99,31,,15494,816,707,,,28,46,83,156,237,243,268,443,4,15,,3,7,26,8,1,,1478,129,20,54,157,1,5,16,909,199,33,0,0,0,0,0,162,922,276,112,51,11,22,285,,282,40,72,79,173,28,29,32,,21,228,51,167,1,2,165,22,46,2,2,7,6,1236,10,4,12,11,,,,,1523,2009,1513,8,2,15247,207,40
106040802,106040802,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,240 SPRUCE STREET,GRIDLEY,95948,Level IV,NO,9,,01 - Northern California,Butte,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,24,Standby,3930,3180,,,1119,1031,884,856,831,720,487,463,519,200,,79,43,1748,32,64,7,5137,,,,,,,7098,,,,0,,0,,12,3293,1641,194,1303,679,52,,15,171,1,489,64,386,250,1897,427,13,521,87,1,154,1081,349,1152,584,13,23,12,52,1,39,119,5133,919,47,124,13,26,5,,7110,281,221,,,3,12,21,42,79,79,116,149,,1,,7,4,66,2,,,423,24,8,21,2,9,,,348,90,,0,0,0,0,0,61,353,53,31,4,1,6,89,,55,22,30,22,72,8,3,15,,4,112,13,50,,,44,5,4,,,2,,425,4,3,2,13,,,,,502,2009,455,42,5,5670,1295,145
106040875,106040875,040875,FEATHER RIVER HOSPITAL,5974 PENTZ ROAD,PARADISE,95969,,NO,8,,01 - Northern California,Butte,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,101,Basic,8936,6739,,,1405,1597,2254,1871,2012,2225,1318,1199,1504,290,,40,81,441,,8,123,14982,182,373,34,22,,1,14824,16,,,0,193,17,,13,6173,4440,339,3359,1364,190,,19,505,,1162,200,820,332,3795,898,12,1047,507,12,516,1930,814,2916,1309,93,135,17,156,2,17,247,11685,1458,64,358,73,61,,,15675,1620,1286,,,58,89,145,217,455,489,493,912,16,32,,3,10,58,,1,6,2828,151,50,89,504,58,,8,1604,442,,0,0,0,0,0,397,1833,451,182,43,16,21,555,2,488,106,104,329,355,64,89,75,2,26,392,64,213,,5,243,60,244,2,1,11,13,2244,38,4,14,19,7,5,1,,2906,2009,2890,14,2,15618,33,24
106040937,106040937,040937,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,95966,Level III,NO,10,,01 - Northern California,Butte,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,133,Basic,12511,10106,,,2486,2664,4050,3055,3829,2850,1395,815,873,600,,637,733,1537,705,287,4,18714,262,541,46,,1,,21484,38,,245,0,,0,,,11408,4101,1024,3803,2281,405,,22,398,3,1088,247,1237,621,5303,1569,32,1634,249,7,1032,2499,1542,4729,1677,85,151,34,282,25,5,292,16697,2296,202,598,93,159,21,,22617,3850,3105,,,178,370,418,943,1171,1188,1194,1269,94,130,,173,181,291,151,47,2,6110,281,193,140,249,38,,22,5249,769,14,0,0,0,0,0,1737,3687,759,662,110,163,68,1141,,1013,357,367,435,638,159,130,156,2,91,1212,341,677,,5,319,111,420,16,29,16,40,5783,96,10,45,44,22,1,3,,6955,2009,6667,140,148,21591,462,564
106040962,106040962,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,1531 ESPLANADE,CHICO,95926,Level II,NO,7.1,,01 - Northern California,Butte,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,208,Basic,15397,13180,2,,2705,3397,6269,3501,3798,3175,1903,1306,1778,747,,420,933,3729,286,1316,111,21784,151,379,77,19,12,3,27077,309,2,447,0,,102,,1,9093,5546,2661,8255,3024,699,,61,759,13,1834,399,1377,623,7221,1408,52,1400,609,29,1396,2609,1051,7039,1908,216,274,18,624,72,4,281,20837,2789,302,961,148,137,8,,28579,4395,4044,,,211,540,511,864,1334,1298,1323,2182,61,115,,93,159,751,69,235,28,7104,129,112,319,1116,418,30,37,5082,1189,7,0,0,0,0,0,1402,4624,1574,683,156,49,95,1442,10,1231,330,508,471,1302,195,197,200,3,162,1275,248,704,,17,617,102,486,62,44,26,29,6559,96,49,267,74,8,18,2,,8439,2009,7864,438,137,26592,1570,417
106050932,106050932,050932,MARK TWAIN ST. JOSEPHS HOSPITAL,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,,NO,12,,06 - North San Joaquin,Calaveras,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,48,Basic,4934,4445,,,916,1385,1345,1018,1239,1245,866,663,580,122,,56,95,433,35,53,64,8643,197,132,21,,5,2,8928,5,1,71,11,,0,,6,2376,2054,345,2812,1792,52,1,8,236,2,739,134,490,273,2942,588,11,500,384,2,471,1078,411,1057,916,81,100,12,117,3,55,237,6084,1267,64,340,11,83,9,,9379,646,553,,,22,51,35,102,185,249,248,306,,1,,10,12,29,10,5,3,1130,89,11,49,92,14,,16,767,156,5,0,0,0,0,0,157,743,189,87,23,,14,267,,173,77,60,71,163,15,31,45,,19,177,21,66,,,104,31,102,1,4,40,7,850,26,3,10,15,2,3,1,,1199,2009,1185,7,7,9245,81,53
106060870,106060870,060870,COLUSA REGIONAL MEDICAL CENTER,199 EAST WEBSTER STREET,COLUSA,95932,Level IV,NO,15,,01 - Northern California,Colusa,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,42,Standby,2807,2545,,,955,733,743,589,612,457,365,296,356,246,,46,79,2145,83,45,4,2950,184,16,7,5,,,5060,40,,38,0,1,0,1,,1793,1032,320,1653,554,129,,11,132,4,289,66,208,141,1422,336,7,373,107,6,125,603,180,1213,371,19,39,5,55,31,44,87,3669,760,39,154,20,55,4,,5352,390,289,,,30,33,29,73,92,83,111,191,7,30,,7,9,152,4,4,,503,49,9,12,33,1,1,6,474,93,1,0,0,0,0,0,119,382,116,55,7,9,6,122,1,129,40,57,22,32,12,8,36,,5,153,16,31,,,18,6,40,1,5,7,4,579,10,,2,7,,,,,679,2009,567,109,3,4011,1309,32
106070904,106070904,070904,DOCTORS MEDICAL CENTER - SAN PABLO,2000 VALE ROAD,SAN PABLO,94806,,NO,18f,,05 - East Bay,Contra Costa,General Acute Care,District,General Medical / Surgical,189,Basic,19937,14829,,,4530,4079,6250,4687,5096,4260,2250,1363,1346,905,,2204,13505,9870,16,975,57,8139,502,727,68,,1,4,33087,165,6,119,0,87,0,,,5745,5232,908,14921,7960,1047,4,163,586,4,1822,760,2118,1265,6258,2831,53,3126,1629,21,1054,4250,1786,5989,1927,155,312,23,776,75,152,301,27162,2525,129,975,101,125,28,,34766,2924,2519,,,23,210,313,618,1055,927,954,1343,,,,566,1989,620,1,137,10,2120,105,112,250,515,64,,99,3237,879,182,0,0,0,0,0,1032,3071,575,531,234,6,108,1251,1,714,279,261,338,483,100,108,99,8,42,907,160,578,,,241,89,673,14,45,322,18,3878,70,1,14,35,34,9,,,5443,2009,5029,268,146,30472,3834,460
