Year,LocationID,MeasureId,Measure,Data_Value,TotalPopulation,Geolocation
2021,90005,OBESITY,Obesity among adults aged >=18 years,27.0,37681,POINT (-118.3102305 34.05826127)
2021,90005,STROKE,Stroke among adults aged >=18 years,2.6,37681,POINT (-118.3102305 34.05826127)
2021,90006,CASTHMA,Current asthma among adults aged >=18 years,9.9,59185,POINT (-118.294177 34.04804138)
2021,90006,DIABETES,Diagnosed diabetes among adults aged >=18 years,15.3,59185,POINT (-118.294177 34.04804138)
2021,90006,OBESITY,Obesity among adults aged >=18 years,32.3,59185,POINT (-118.294177 34.04804138)
2021,90006,STROKE,Stroke among adults aged >=18 years,3.1,59185,POINT (-118.294177 34.04804138)
2021,90007,CASTHMA,Current asthma among adults aged >=18 years,11.1,40920,POINT (-118.285005 34.02747577)
2021,90007,DIABETES,Diagnosed diabetes among adults aged >=18 years,10.6,40920,POINT (-118.285005 34.02747577)
2021,90007,OBESITY,Obesity among adults aged >=18 years,29.4,40920,POINT (-118.285005 34.02747577)
2021,90007,STROKE,Stroke among adults aged >=18 years,2.4,40920,POINT (-118.285005 34.02747577)
2021,90008,CASTHMA,Current asthma among adults aged >=18 years,11.6,32327,POINT (-118.3470691 34.00960522)
2021,90008,DIABETES,Diagnosed diabetes among adults aged >=18 years,15.5,32327,POINT (-118.3470691 34.00960522)
2021,90008,OBESITY,Obesity among adults aged >=18 years,36.3,32327,POINT (-118.3470691 34.00960522)
2021,90008,STROKE,Stroke among adults aged >=18 years,4.3,32327,POINT (-118.3470691 34.00960522)
2021,90010,STROKE,Stroke among adults aged >=18 years,2.5,3800,POINT (-118.3074208 34.06165231)
2021,90010,DIABETES,Diagnosed diabetes among adults aged >=18 years,11.8,3800,POINT (-118.3074208 34.06165231)
2021,90010,OBESITY,Obesity among adults aged >=18 years,19.5,3800,POINT (-118.3074208 34.06165231)
2021,90010,CASTHMA,Current asthma among adults aged >=18 years,7.8,3800,POINT (-118.3074208 34.06165231)
2021,90011,DIABETES,Diagnosed diabetes among adults aged >=18 years,14.4,103892,POINT (-118.2586699 34.00706962)
2021,90011,OBESITY,Obesity among adults aged >=18 years,37.8,103892,POINT (-118.2586699 34.00706962)
2021,90011,STROKE,Stroke among adults aged >=18 years,3.1,103892,POINT (-118.2586699 34.00706962)
2021,90011,CASTHMA,Current asthma among adults aged >=18 years,11.5,103892,POINT (-118.2586699 34.00706962)
2021,90012,DIABETES,Diagnosed diabetes among adults aged >=18 years,13.2,31103,POINT (-118.240279 34.05840098)
2021,90012,OBESITY,Obesity among adults aged >=18 years,24.5,31103,POINT (-118.240279 34.05840098)
2021,90012,STROKE,Stroke among adults aged >=18 years,2.9,31103,POINT (-118.240279 34.05840098)
2021,90012,CASTHMA,Current asthma among adults aged >=18 years,8.2,31103,POINT (-118.240279 34.05840098)
2021,90013,DIABETES,Diagnosed diabetes among adults aged >=18 years,18.6,11772,POINT (-118.2343163 34.04314081)
2021,90013,OBESITY,Obesity among adults aged >=18 years,35.9,11772,POINT (-118.2343163 34.04314081)
2021,90013,STROKE,Stroke among adults aged >=18 years,4.4,11772,POINT (-118.2343163 34.04314081)
2021,90013,CASTHMA,Current asthma among adults aged >=18 years,10.2,11772,POINT (-118.2343163 34.04314081)
2021,90014,OBESITY,Obesity among adults aged >=18 years,34.7,7005,POINT (-118.2517465 34.04314571)
2021,90014,STROKE,Stroke among adults aged >=18 years,4.5,7005,POINT (-118.2517465 34.04314571)
2021,90014,CASTHMA,Current asthma among adults aged >=18 years,10.0,7005,POINT (-118.2517465 34.04314571)
2021,90014,DIABETES,Diagnosed diabetes among adults aged >=18 years,18.5,7005,POINT (-118.2517465 34.04314571)
2021,90015,DIABETES,Diagnosed diabetes among adults aged >=18 years,13.1,18986,POINT (-118.2662993 34.03937804)
2021,90015,STROKE,Stroke among adults aged >=18 years,2.8,18986,POINT (-118.2662993 34.03937804)
2021,90015,CASTHMA,Current asthma among adults aged >=18 years,10.0,18986,POINT (-118.2662993 34.03937804)
2021,90015,OBESITY,Obesity among adults aged >=18 years,31.3,18986,POINT (-118.2662993 34.03937804)
2021,90016,CASTHMA,Current asthma among adults aged >=18 years,11.0,47596,POINT (-118.3545649 34.02876667)
2021,90016,DIABETES,Diagnosed diabetes among adults aged >=18 years,14.0,47596,POINT (-118.3545649 34.02876667)
2021,90016,OBESITY,Obesity among adults aged >=18 years,35.2,47596,POINT (-118.3545649 34.02876667)
2021,90016,STROKE,Stroke among adults aged >=18 years,3.5,47596,POINT (-118.3545649 34.02876667)
2021,90017,STROKE,Stroke among adults aged >=18 years,2.9,23768,POINT (-118.2643199 34.05286936)
2021,90017,OBESITY,Obesity among adults aged >=18 years,32.3,23768,POINT (-118.2643199 34.05286936)
2021,90017,CASTHMA,Current asthma among adults aged >=18 years,10.5,23768,POINT (-118.2643199 34.05286936)
2021,90017,DIABETES,Diagnosed diabetes among adults aged >=18 years,13.4,23768,POINT (-118.2643199 34.05286936)
2021,90018,CASTHMA,Current asthma among adults aged >=18 years,10.9,49310,POINT (-118.3171833 34.02888703)
2021,90018,DIABETES,Diagnosed diabetes among adults aged >=18 years,14.7,49310,POINT (-118.3171833 34.02888703)
2021,90018,STROKE,Stroke among adults aged >=18 years,3.7,49310,POINT (-118.3171833 34.02888703)
2021,90018,OBESITY,Obesity among adults aged >=18 years,35.1,49310,POINT (-118.3171833 34.02888703)
2021,90019,DIABETES,Diagnosed diabetes among adults aged >=18 years,12.8,64458,POINT (-118.3387362 34.04863839)
2021,90019,CASTHMA,Current asthma among adults aged >=18 years,9.9,64458,POINT (-118.3387362 34.04863839)
2021,90019,OBESITY,Obesity among adults aged >=18 years,30.1,64458,POINT (-118.3387362 34.04863839)
2021,90019,STROKE,Stroke among adults aged >=18 years,3.1,64458,POINT (-118.3387362 34.04863839)
2021,90020,STROKE,Stroke among adults aged >=18 years,2.1,38967,POINT (-118.30987 34.06637863)
2021,90020,DIABETES,Diagnosed diabetes among adults aged >=18 years,10.6,38967,POINT (-118.30987 34.06637863)
2021,90020,CASTHMA,Current asthma among adults aged >=18 years,8.2,38967,POINT (-118.30987 34.06637863)
2021,90020,OBESITY,Obesity among adults aged >=18 years,23.1,38967,POINT (-118.30987 34.06637863)
2021,90021,OBESITY,Obesity among adults aged >=18 years,40.9,3951,POINT (-118.2387681 34.02933963)
2021,90021,CASTHMA,Current asthma among adults aged >=18 years,10.5,3951,POINT (-118.2387681 34.02933963)
2021,90021,DIABETES,Diagnosed diabetes among adults aged >=18 years,21.4,3951,POINT (-118.2387681 34.02933963)
2021,90021,STROKE,Stroke among adults aged >=18 years,4.9,3951,POINT (-118.2387681 34.02933963)
2021,90022,OBESITY,Obesity among adults aged >=18 years,34.6,67179,POINT (-118.1560571 34.02451243)
2021,90022,CASTHMA,Current asthma among adults aged >=18 years,10.2,67179,POINT (-118.1560571 34.02451243)
2021,90022,DIABETES,Diagnosed diabetes among adults aged >=18 years,14.3,67179,POINT (-118.1560571 34.02451243)
2021,90022,STROKE,Stroke among adults aged >=18 years,3.0,67179,POINT (-118.1560571 34.02451243)
2021,90023,DIABETES,Diagnosed diabetes among adults aged >=18 years,14.5,45903,POINT (-118.1998453 34.022725)
2021,90023,STROKE,Stroke among adults aged >=18 years,3.1,45903,POINT (-118.1998453 34.022725)
2021,90023,CASTHMA,Current asthma among adults aged >=18 years,10.5,45903,POINT (-118.1998453 34.022725)
2021,90023,OBESITY,Obesity among adults aged >=18 years,35.5,45903,POINT (-118.1998453 34.022725)
2021,90024,OBESITY,Obesity among adults aged >=18 years,20.3,47452,POINT (-118.4349991 34.06572899)
2021,90024,CASTHMA,Current asthma among adults aged >=18 years,10.0,47452,POINT (-118.4349991 34.06572899)
2021,90024,DIABETES,Diagnosed diabetes among adults aged >=18 years,5.5,47452,POINT (-118.4349991 34.06572899)
2021,90024,STROKE,Stroke among adults aged >=18 years,1.6,47452,POINT (-118.4349991 34.06572899)
2021,90025,OBESITY,Obesity among adults aged >=18 years,22.3,42147,POINT (-118.4459391 34.04557187)
2021,90025,CASTHMA,Current asthma among adults aged >=18 years,8.7,42147,POINT (-118.4459391 34.04557187)
2021,90025,DIABETES,Diagnosed diabetes among adults aged >=18 years,6.6,42147,POINT (-118.4459391 34.04557187)
2021,90025,STROKE,Stroke among adults aged >=18 years,1.8,42147,POINT (-118.4459391 34.04557187)
2021,90026,OBESITY,Obesity among adults aged >=18 years,27.9,67869,POINT (-118.2629745 34.07921666)
2021,90026,CASTHMA,Current asthma among adults aged >=18 years,9.2,67869,POINT (-118.2629745 34.07921666)
2021,90026,DIABETES,Diagnosed diabetes among adults aged >=18 years,10.8,67869,POINT (-118.2629745 34.07921666)
2021,90026,STROKE,Stroke among adults aged >=18 years,2.3,67869,POINT (-118.2629745 34.07921666)
2021,90027,OBESITY,Obesity among adults aged >=18 years,25.8,45151,POINT (-118.2908117 34.12551121)
2021,90027,CASTHMA,Current asthma among adults aged >=18 years,9.2,45151,POINT (-118.2908117 34.12551121)
2021,90027,DIABETES,Diagnosed diabetes among adults aged >=18 years,9.1,45151,POINT (-118.2908117 34.12551121)
2021,90027,STROKE,Stroke among adults aged >=18 years,2.4,45151,POINT (-118.2908117 34.12551121)
2021,90028,DIABETES,Diagnosed diabetes among adults aged >=18 years,9.0,28714,POINT (-118.3269118 34.09991185)
2021,90028,CASTHMA,Current asthma among adults aged >=18 years,9.6,28714,POINT (-118.3269118 34.09991185)
2021,90028,OBESITY,Obesity among adults aged >=18 years,28.3,28714,POINT (-118.3269118 34.09991185)
2021,90028,STROKE,Stroke among adults aged >=18 years,2.3,28714,POINT (-118.3269118 34.09991185)
2021,90029,STROKE,Stroke among adults aged >=18 years,2.8,38617,POINT (-118.2946604 34.08984807)
2021,90029,CASTHMA,Current asthma among adults aged >=18 years,9.5,38617,POINT (-118.2946604 34.08984807)
2021,90029,DIABETES,Diagnosed diabetes among adults aged >=18 years,12.6,38617,POINT (-118.2946604 34.08984807)
2021,90029,OBESITY,Obesity among adults aged >=18 years,29.6,38617,POINT (-118.2946604 34.08984807)
2021,90031,OBESITY,Obesity among adults aged >=18 years,29.4,39316,POINT (-118.2085794 34.07936048)
2021,90031,CASTHMA,Current asthma among adults aged >=18 years,9.4,39316,POINT (-118.2085794 34.07936048)
2021,90031,DIABETES,Diagnosed diabetes among adults aged >=18 years,15.3,39316,POINT (-118.2085794 34.07936048)
2021,90031,STROKE,Stroke among adults aged >=18 years,3.2,39316,POINT (-118.2085794 34.07936048)
2021,90032,DIABETES,Diagnosed diabetes among adults aged >=18 years,13.3,45786,POINT (-118.1780529 34.07960203)
2021,90032,OBESITY,Obesity among adults aged >=18 years,30.6,45786,POINT (-118.1780529 34.07960203)
2021,90032,CASTHMA,Current asthma among adults aged >=18 years,9.4,45786,POINT (-118.1780529 34.07960203)
2021,90032,STROKE,Stroke among adults aged >=18 years,2.8,45786,POINT (-118.1780529 34.07960203)
2021,90033,DIABETES,Diagnosed diabetes among adults aged >=18 years,15.7,48852,POINT (-118.2115738 34.0510918)
2021,90033,CASTHMA,Current asthma among adults aged >=18 years,10.5,48852,POINT (-118.2115738 34.0510918)
2021,90033,OBESITY,Obesity among adults aged >=18 years,35.0,48852,POINT (-118.2115738 34.0510918)
2021,90033,STROKE,Stroke among adults aged >=18 years,3.4,48852,POINT (-118.2115738 34.0510918)
2021,90034,CASTHMA,Current asthma among adults aged >=18 years,8.8,57964,POINT (-118.3840735 34.03732251)
2021,90034,DIABETES,Diagnosed diabetes among adults aged >=18 years,7.0,57964,POINT (-118.3840735 34.03732251)
2021,90034,OBESITY,Obesity among adults aged >=18 years,24.2,57964,POINT (-118.3840735 34.03732251)
2021,90034,STROKE,Stroke among adults aged >=18 years,1.7,57964,POINT (-118.3840735 34.03732251)
2021,90035,CASTHMA,Current asthma among adults aged >=18 years,9.4,28418,POINT (-118.3836743 34.05180833)
2021,90035,DIABETES,Diagnosed diabetes among adults aged >=18 years,7.9,28418,POINT (-118.3836743 34.05180833)
2021,90035,OBESITY,Obesity among adults aged >=18 years,24.9,28418,POINT (-118.3836743 34.05180833)
2021,90035,STROKE,Stroke among adults aged >=18 years,2.4,28418,POINT (-118.3836743 34.05180833)
2021,90036,CASTHMA,Current asthma among adults aged >=18 years,8.7,36865,POINT (-118.3498504 34.07013772)
2021,90036,DIABETES,Diagnosed diabetes among adults aged >=18 years,6.0,36865,POINT (-118.3498504 34.07013772)
2021,90036,OBESITY,Obesity among adults aged >=18 years,22.2,36865,POINT (-118.3498504 34.07013772)
2021,90036,STROKE,Stroke among adults aged >=18 years,1.6,36865,POINT (-118.3498504 34.07013772)
2021,90037,STROKE,Stroke among adults aged >=18 years,3.6,62276,POINT (-118.2874867 34.00272304)
2021,90037,CASTHMA,Current asthma among adults aged >=18 years,11.7,62276,POINT (-118.2874867 34.00272304)
2021,90037,OBESITY,Obesity among adults aged >=18 years,38.3,62276,POINT (-118.2874867 34.00272304)
2021,90037,DIABETES,Diagnosed diabetes among adults aged >=18 years,15.4,62276,POINT (-118.2874867 34.00272304)
2021,90038,DIABETES,Diagnosed diabetes among adults aged >=18 years,10.9,28917,POINT (-118.3265282 34.08875075)
2021,90038,STROKE,Stroke among adults aged >=18 years,2.4,28917,POINT (-118.3265282 34.08875075)
2021,90038,OBESITY,Obesity among adults aged >=18 years,30.8,28917,POINT (-118.3265282 34.08875075)
2021,90038,CASTHMA,Current asthma among adults aged >=18 years,9.8,28917,POINT (-118.3265282 34.08875075)
2021,90039,STROKE,Stroke among adults aged >=18 years,2.2,28514,POINT (-118.2526135 34.10426843)
2021,90039,CASTHMA,Current asthma among adults aged >=18 years,8.5,28514,POINT (-118.2526135 34.10426843)
2021,90039,OBESITY,Obesity among adults aged >=18 years,25.2,28514,POINT (-118.2526135 34.10426843)
2021,90039,DIABETES,Diagnosed diabetes among adults aged >=18 years,9.7,28514,POINT (-118.2526135 34.10426843)
2021,90040,DIABETES,Diagnosed diabetes among adults aged >=18 years,14.1,12520,POINT (-118.1490764 33.99346069)
2021,90040,CASTHMA,Current asthma among adults aged >=18 years,9.9,12520,POINT (-118.1490764 33.99346069)
2021,90040,OBESITY,Obesity among adults aged >=18 years,33.2,12520,POINT (-118.1490764 33.99346069)
2021,90040,STROKE,Stroke among adults aged >=18 years,3.1,12520,POINT (-118.1490764 33.99346069)
2021,90041,STROKE,Stroke among adults aged >=18 years,2.4,27425,POINT (-118.2076388 34.13756592)
2021,90041,DIABETES,Diagnosed diabetes among adults aged >=18 years,10.3,27425,POINT (-118.2076388 34.13756592)
2021,90041,CASTHMA,Current asthma among adults aged >=18 years,8.5,27425,POINT (-118.2076388 34.13756592)
2021,90041,OBESITY,Obesity among adults aged >=18 years,23.3,27425,POINT (-118.2076388 34.13756592)
2021,90042,STROKE,Stroke among adults aged >=18 years,2.4,62430,POINT (-118.191939 34.11461656)
2021,90042,CASTHMA,Current asthma among adults aged >=18 years,9.1,62430,POINT (-118.191939 34.11461656)
2021,90042,OBESITY,Obesity among adults aged >=18 years,29.0,62430,POINT (-118.191939 34.11461656)
2021,90042,DIABETES,Diagnosed diabetes among adults aged >=18 years,11.2,62430,POINT (-118.191939 34.11461656)
2021,90043,STROKE,Stroke among adults aged >=18 years,4.3,44789,POINT (-118.338005 33.99196973)
2021,90043,CASTHMA,Current asthma among adults aged >=18 years,11.6,44789,POINT (-118.338005 33.99196973)
2021,90043,DIABETES,Diagnosed diabetes among adults aged >=18 years,15.4,44789,POINT (-118.338005 33.99196973)
2021,90043,OBESITY,Obesity among adults aged >=18 years,36.5,44789,POINT (-118.338005 33.99196973)
2021,90044,STROKE,Stroke among adults aged >=18 years,3.9,89779,POINT (-118.2919037 33.95272934)
2021,90044,CASTHMA,Current asthma among adults aged >=18 years,12.0,89779,POINT (-118.2919037 33.95272934)
2021,90044,DIABETES,Diagnosed diabetes among adults aged >=18 years,15.4,89779,POINT (-118.2919037 33.95272934)
2021,90044,OBESITY,Obesity among adults aged >=18 years,38.8,89779,POINT (-118.2919037 33.95272934)
2021,90045,STROKE,Stroke among adults aged >=18 years,2.0,39480,POINT (-118.4001477 33.95294958)
2021,90045,OBESITY,Obesity among adults aged >=18 years,24.3,39480,POINT (-118.4001477 33.95294958)
2021,90045,DIABETES,Diagnosed diabetes among adults aged >=18 years,7.4,39480,POINT (-118.4001477 33.95294958)
2021,90045,CASTHMA,Current asthma among adults aged >=18 years,9.3,39480,POINT (-118.4001477 33.95294958)
2021,90046,STROKE,Stroke among adults aged >=18 years,2.0,48581,POINT (-118.3578873 34.10469544)
2021,90046,OBESITY,Obesity among adults aged >=18 years,25.1,48581,POINT (-118.3578873 34.10469544)
2021,90046,CASTHMA,Current asthma among adults aged >=18 years,9.0,48581,POINT (-118.3578873 34.10469544)
2021,90046,DIABETES,Diagnosed diabetes among adults aged >=18 years,6.9,48581,POINT (-118.3578873 34.10469544)
2021,90047,OBESITY,Obesity among adults aged >=18 years,37.5,48606,POINT (-118.3090038 33.9544849)
2021,90047,STROKE,Stroke among adults aged >=18 years,4.4,48606,POINT (-118.3090038 33.9544849)
2021,90047,CASTHMA,Current asthma among adults aged >=18 years,11.9,48606,POINT (-118.3090038 33.9544849)
2021,90047,DIABETES,Diagnosed diabetes among adults aged >=18 years,15.8,48606,POINT (-118.3090038 33.9544849)
2021,90048,CASTHMA,Current asthma among adults aged >=18 years,8.9,21397,POINT (-118.3687108 34.07122244)
2021,90048,DIABETES,Diagnosed diabetes among adults aged >=18 years,6.7,21397,POINT (-118.3687108 34.07122244)
2021,90048,OBESITY,Obesity among adults aged >=18 years,23.3,21397,POINT (-118.3687108 34.07122244)
2021,90048,STROKE,Stroke among adults aged >=18 years,2.1,21397,POINT (-118.3687108 34.07122244)
2021,90049,OBESITY,Obesity among adults aged >=18 years,22.0,35482,POINT (-118.4892663 34.08719356)
2021,90049,STROKE,Stroke among adults aged >=18 years,2.1,35482,POINT (-118.4892663 34.08719356)
2021,90049,DIABETES,Diagnosed diabetes among adults aged >=18 years,7.0,35482,POINT (-118.4892663 34.08719356)
2021,90049,CASTHMA,Current asthma among adults aged >=18 years,8.7,35482,POINT (-118.4892663 34.08719356)
2021,90056,OBESITY,Obesity among adults aged >=18 years,31.2,7827,POINT (-118.3704596 33.98786532)
2021,90056,STROKE,Stroke among adults aged >=18 years,3.7,7827,POINT (-118.3704596 33.98786532)
2021,90056,CASTHMA,Current asthma among adults aged >=18 years,10.3,7827,POINT (-118.3704596 33.98786532)
2021,90056,DIABETES,Diagnosed diabetes among adults aged >=18 years,13.3,7827,POINT (-118.3704596 33.98786532)
2021,90057,OBESITY,Obesity among adults aged >=18 years,31.1,44998,POINT (-118.277099 34.06215754)
2021,90057,STROKE,Stroke among adults aged >=18 years,3.0,44998,POINT (-118.277099 34.06215754)
2021,90057,CASTHMA,Current asthma among adults aged >=18 years,9.8,44998,POINT (-118.277099 34.06215754)
2021,90057,DIABETES,Diagnosed diabetes among adults aged >=18 years,13.9,44998,POINT (-118.277099 34.06215754)
2021,90058,STROKE,Stroke among adults aged >=18 years,3.4,3223,POINT (-118.213869 34.00244962)
2021,90058,OBESITY,Obesity among adults aged >=18 years,37.1,3223,POINT (-118.213869 34.00244962)
2021,90058,DIABETES,Diagnosed diabetes among adults aged >=18 years,15.8,3223,POINT (-118.213869 34.00244962)
2021,90058,CASTHMA,Current asthma among adults aged >=18 years,11.6,3223,POINT (-118.213869 34.00244962)
2021,90059,CASTHMA,Current asthma among adults aged >=18 years,12.1,40952,POINT (-118.2451975 33.92911633)
2021,90059,DIABETES,Diagnosed diabetes among adults aged >=18 years,14.4,40952,POINT (-118.2451975 33.92911633)
2021,90059,OBESITY,Obesity among adults aged >=18 years,37.9,40952,POINT (-118.2451975 33.92911633)
2021,90059,STROKE,Stroke among adults aged >=18 years,3.5,40952,POINT (-118.2451975 33.92911633)
2021,90061,OBESITY,Obesity among adults aged >=18 years,37.6,26872,POINT (-118.2740516 33.92036968)
2021,90061,STROKE,Stroke among adults aged >=18 years,3.9,26872,POINT (-118.2740516 33.92036968)
2021,90061,DIABETES,Diagnosed diabetes among adults aged >=18 years,14.8,26872,POINT (-118.2740516 33.92036968)
2021,90061,CASTHMA,Current asthma among adults aged >=18 years,11.9,26872,POINT (-118.2740516 33.92036968)
2021,90062,OBESITY,Obesity among adults aged >=18 years,36.1,32821,POINT (-118.3088063 34.00363839)
2021,90062,STROKE,Stroke among adults aged >=18 years,3.7,32821,POINT (-118.3088063 34.00363839)
2021,90062,CASTHMA,Current asthma among adults aged >=18 years,11.3,32821,POINT (-118.3088063 34.00363839)
2021,90062,DIABETES,Diagnosed diabetes among adults aged >=18 years,14.3,32821,POINT (-118.3088063 34.00363839)
2021,90063,CASTHMA,Current asthma among adults aged >=18 years,10.1,55758,POINT (-118.1859138 34.04510607)
2021,90063,DIABETES,Diagnosed diabetes among adults aged >=18 years,14.0,55758,POINT (-118.1859138 34.04510607)
2021,90063,OBESITY,Obesity among adults aged >=18 years,34.1,55758,POINT (-118.1859138 34.04510607)
2021,90063,STROKE,Stroke among adults aged >=18 years,3.0,55758,POINT (-118.1859138 34.04510607)
2021,90064,CASTHMA,Current asthma among adults aged >=18 years,8.4,25403,POINT (-118.4250398 34.0369521)
2021,90064,OBESITY,Obesity among adults aged >=18 years,22.4,25403,POINT (-118.4250398 34.0369521)
2021,90064,STROKE,Stroke among adults aged >=18 years,2.1,25403,POINT (-118.4250398 34.0369521)
2021,90064,DIABETES,Diagnosed diabetes among adults aged >=18 years,7.9,25403,POINT (-118.4250398 34.0369521)
2021,90065,DIABETES,Diagnosed diabetes among adults aged >=18 years,11.8,45527,POINT (-118.2276073 34.10892322)
2021,90065,STROKE,Stroke among adults aged >=18 years,2.6,45527,POINT (-118.2276073 34.10892322)
2021,90065,CASTHMA,Current asthma among adults aged >=18 years,8.9,45527,POINT (-118.2276073 34.10892322)
2021,90065,OBESITY,Obesity among adults aged >=18 years,28.3,45527,POINT (-118.2276073 34.10892322)
2021,90066,STROKE,Stroke among adults aged >=18 years,2.2,55277,POINT (-118.4306091 34.00124061)
2021,90066,OBESITY,Obesity among adults aged >=18 years,25.0,55277,POINT (-118.4306091 34.00124061)
2021,90066,CASTHMA,Current asthma among adults aged >=18 years,8.8,55277,POINT (-118.4306091 34.00124061)
2021,90066,DIABETES,Diagnosed diabetes among adults aged >=18 years,8.5,55277,POINT (-118.4306091 34.00124061)
2021,90067,DIABETES,Diagnosed diabetes among adults aged >=18 years,11.4,2424,POINT (-118.4174763 34.05841376)
2021,90067,STROKE,Stroke among adults aged >=18 years,3.9,2424,POINT (-118.4174763 34.05841376)
2021,90067,CASTHMA,Current asthma among adults aged >=18 years,8.0,2424,POINT (-118.4174763 34.05841376)
2021,90067,OBESITY,Obesity among adults aged >=18 years,20.8,2424,POINT (-118.4174763 34.05841376)
2021,90068,DIABETES,Diagnosed diabetes among adults aged >=18 years,6.8,22286,POINT (-118.328591 34.12808926)
2021,90068,STROKE,Stroke among adults aged >=18 years,1.9,22286,POINT (-118.328591 34.12808926)
2021,90068,CASTHMA,Current asthma among adults aged >=18 years,8.9,22286,POINT (-118.328591 34.12808926)
2021,90068,OBESITY,Obesity among adults aged >=18 years,25.0,22286,POINT (-118.328591 34.12808926)
2021,90069,DIABETES,Diagnosed diabetes among adults aged >=18 years,6.8,20483,POINT (-118.3816972 34.09382849)
2021,90069,STROKE,Stroke among adults aged >=18 years,1.9,20483,POINT (-118.3816972 34.09382849)
2021,90069,CASTHMA,Current asthma among adults aged >=18 years,8.4,20483,POINT (-118.3816972 34.09382849)
2021,90069,OBESITY,Obesity among adults aged >=18 years,24.9,20483,POINT (-118.3816972 34.09382849)
2021,90073,DIABETES,Diagnosed diabetes among adults aged >=18 years,33.1,539,POINT (-118.458412 34.05508453)
2021,90073,STROKE,Stroke among adults aged >=18 years,9.2,539,POINT (-118.458412 34.05508453)
2021,90073,CASTHMA,Current asthma among adults aged >=18 years,10.0,539,POINT (-118.458412 34.05508453)
2021,90073,OBESITY,Obesity among adults aged >=18 years,45.7,539,POINT (-118.458412 34.05508453)
2021,90077,CASTHMA,Current asthma among adults aged >=18 years,8.4,9377,POINT (-118.4561226 34.10544669)
2021,90077,DIABETES,Diagnosed diabetes among adults aged >=18 years,8.6,9377,POINT (-118.4561226 34.10544669)
2021,90077,OBESITY,Obesity among adults aged >=18 years,22.6,9377,POINT (-118.4561226 34.10544669)
2021,90077,STROKE,Stroke among adults aged >=18 years,2.6,9377,POINT (-118.4561226 34.10544669)
2021,90089,STROKE,Stroke among adults aged >=18 years,0.8,3217,POINT (-118.2866526 34.02134553)
2021,90089,OBESITY,Obesity among adults aged >=18 years,21.9,3217,POINT (-118.2866526 34.02134553)
2021,90089,CASTHMA,Current asthma among adults aged >=18 years,13.3,3217,POINT (-118.2866526 34.02134553)
2021,90089,DIABETES,Diagnosed diabetes among adults aged >=18 years,3.0,3217,POINT (-118.2866526 34.02134553)
2021,90094,OBESITY,Obesity among adults aged >=18 years,21.6,5464,POINT (-118.4169878 33.97541573)
2021,90094,DIABETES,Diagnosed diabetes among adults aged >=18 years,5.0,5464,POINT (-118.4169878 33.97541573)
2021,90094,CASTHMA,Current asthma among adults aged >=18 years,8.6,5464,POINT (-118.4169878 33.97541573)
2021,90094,STROKE,Stroke among adults aged >=18 years,1.3,5464,POINT (-118.4169878 33.97541573)
2021,90201,CASTHMA,Current asthma among adults aged >=18 years,10.6,101279,POINT (-118.1711622 33.96848735)
2021,90201,DIABETES,Diagnosed diabetes among adults aged >=18 years,13.7,101279,POINT (-118.1711622 33.96848735)
2021,90201,OBESITY,Obesity among adults aged >=18 years,36.0,101279,POINT (-118.1711622 33.96848735)
2021,90201,STROKE,Stroke among adults aged >=18 years,2.8,101279,POINT (-118.1711622 33.96848735)
