oshpd_id2,oshpd_id,FACILITY_NAME,LICENSE_CATEGORY_DESC,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,Sex_Female,Sex_Male,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,racegrp_inv_blank,eth_Hispanic,eth_NonHispanic,eth_Unknown,eth_Blank_Invalid,disp_Acute_Care,disp_Against_Medical_Advice,disp_Childrens_or_Cancer,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Not_Defined_Elsewhere,disp_Prison_Jail,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,disp_CAH,disp_Other,disp_Invalid_Blank,disp_Disaster_Care_Site,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Unknown_inv_Payer,dx_Certain_Perinatal_Conditions,dx_Circulatory,dx_Congenital,dx_Digestive,dx_Diseases_of_the_Blood,dx_Ear,dx_Endocrine,dx_Eye,dx_Factors_Influencing_Health_St,dx_Genitourinary,dx_Infectious,dx_Injury_Poisoning,dx_MentalHealth,dx_Musculoskeletal,dx_Neoplasms,dx_Nervous_System,dx_Pregnancy_Childbirth,dx_Respiratory,dx_Skin,dx_Symptoms_Signs_NEC,dx_Unacceptable_principal_diagno,ED_Visit,All_Other_Languages,English,Spanish,Unknown_lang,blank_inv_lang,Zip_Blank_Invalid,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Zip_Unknown,a_Sex_Female,a_Sex_Male,a_sex_Unknown,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_racegrp_aman,a_racegrp_asian,a_racegrp_black,a_racegrp_multirace,a_racegrp_nhpi,a_racegrp_other,a_racegrp_unknown,a_racegrp_white,a_racegrp_inv_blank,a_eth_Hispanic,a_eth_NonHispanic,a_eth_Unknown,a_eth_Blank_Invalid,a_disp_Acute_Care,a_disp_Against_Medical_Advice,a_disp_Died,a_disp_Home_Health_Service,a_disp_Hospice_Care,a_disp_Not_Defined_Elsewhere,a_disp_Prison_Jail,a_disp_Psychiatric_Care,a_disp_Rehab,a_disp_Residential_Care,a_disp_Routine,a_disp_SN_IC_Care,a_disp_Childrens_or_Cancer,a_disp_Disaster_Care_Site,a_disp_Other,a_disp_CAH,a_disp_Invalid_Blank,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Unknown_inv_Payer,a_dx_Circulatory,a_dx_Digestive,a_dx_Diseases_of_the_Blood,a_dx_Ear,a_dx_Endocrine,a_dx_Eye,a_dx_Genitourinary,a_dx_Infectious,a_dx_Injury_Poisoning,a_dx_MentalHealth,a_dx_Musculoskeletal,a_dx_Neoplasms,a_dx_Nervous_System,a_dx_Respiratory,a_dx_Skin,a_dx_Symptoms_Signs_NEC,a_dx_Certain_Perinatal_Condition,a_dx_Factors_Influencing_Health_,a_dx_Pregnancy_Childbirth,a_dx_Congenital,a_dx_Unacceptable_principal_diag,Inpatient_from_ED,a_All_Other_Languages,a_English,a_Spanish,a_Unknown_lang,a_blank_inv_lang,a_Zip_CA_Resident,a_Zip_Homeless,a_Zip_Out_of_State,a_Zip_Unknown,a_Zip_Foreign,a_Zip_Blank_Invalid,ED_STATIONS_ON_1231
106014326,014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,General Acute Care Hospital,Alameda,275 W Macarthur Blvd,Oakland,94611,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 9,District 15,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,48173,42329,15,5346,6204,14443,15335,11613,12500,10608,7820,5620,1028,,340,7910,31382,1403,557,24547,2315,22063,,23169,65685,1663,,1171,2085,8,154,274,74,52,89,1019,23,11,84874,597,1,,85,,23307,18895,1697,37206,9405,7,82,7369,10,4282,449,1107,1443,1073,3239,4299,3645,19283,3963,5518,160,4486,1857,6714,2867,18647,24,90517,2613,79306,8421,4,173,33,86794,1,3286,387,16,5533,5661,2,204,360,697,985,1564,2091,2415,2645,82,153,,37,1470,3554,143,77,2007,177,3731,,1934,9132,130,,320,155,537,1689,312,37,1,25,61,8,6769,1273,,,9,,,1343,6332,63,3109,348,1,2261,1480,169,24,576,12,520,2686,782,256,165,306,371,869,172,373,26,21,117,10,,11196,558,9764,868,1,5,10844,318,32,1,,1,52
106014337,014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,General Acute Care Hospital,Alameda,2500 Merced St,San Leandro,94577,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,200-299,District 9,District 18,San Leandro West/San Lorenzo West/Hayward West,Urban,28518,23641,6,3342,3666,8196,7846,6599,7094,6213,4571,3860,778,,227,7884,11766,763,994,16398,1649,12484,,16778,33565,1822,,445,1108,10,67,730,81,258,12,615,19,14,48194,607,,,5,,7613,11158,954,28848,3589,3,64,4817,11,2927,204,676,1009,622,1309,2849,2015,9190,2053,3599,126,2736,1198,3831,1601,11315,13,52165,1826,44886,5313,4,136,17,51624,,366,156,2,2736,2640,,25,223,374,468,735,1065,1136,1344,4,2,,22,876,1115,41,90,1169,27,2036,,1244,4102,30,,158,65,333,1803,161,12,,13,24,,2134,670,,,3,,,357,3132,14,1790,83,,823,699,64,3,272,3,280,1790,364,66,54,107,107,425,90,118,3,8,99,1,,5376,264,4661,450,1,,5326,35,14,,,1,40
106034002,034002,SUTTER AMADOR HOSPITAL,General Acute Care Hospital,Amador,200 Mission Blvd,Jackson,95642,Non-profit Corporation (incl. Church-related),,Emergency - Basic,SMALL/RURAL,,50-99,District 8,District 5,Ione/Jackson/Pine Grove/Sutter Creek,Rural,10407,9221,,1295,1343,2357,2671,2101,2728,2782,2412,1722,217,,171,92,225,316,95,943,264,17522,,2005,16999,624,,646,123,2,26,9,4,36,540,116,,32,18028,65,1,,,,6487,6120,1381,4733,907,,6,1306,3,1153,51,325,286,129,938,1072,815,4149,723,1313,51,645,300,2301,883,3175,4,19628,37,19273,283,30,5,,19178,22,177,170,81,905,870,,7,39,63,94,208,420,449,495,,,,18,16,24,13,9,66,20,1609,,109,1608,58,,129,29,50,463,56,3,77,5,16,8,703,230,,,,6,,259,1165,141,183,27,,270,257,14,3,70,,60,529,180,29,29,23,63,157,37,40,,1,12,1,,1775,3,1751,19,2,,1740,23,10,2,,,14
106040802,040802,ORCHARD HOSPITAL,General Acute Care Hospital,Butte,240 Spruce St,Gridley,95948,Non-profit Corporation (incl. Church-related),,Emergency - Standby,SMALL/RURAL,,100-149,District 4,District 3,Biggs/East Biggs/Gridley,Rural,4432,3711,,732,790,1142,1378,1108,1124,826,530,430,83,,41,63,167,23,53,1083,75,6638,,2459,5669,15,,523,230,,20,15,2,,7,14,,4,7241,58,15,14,,,4481,1552,20,1371,719,,2,536,2,693,20,197,128,76,62,609,350,1880,214,492,32,242,166,952,534,951,5,8143,46,7215,879,3,,,8049,,45,49,,125,112,,2,4,18,23,24,50,44,72,,,,2,1,1,,2,12,,219,,46,191,,,9,17,5,16,,3,,1,1,,104,77,,,,4,,74,139,1,22,1,,30,31,2,1,18,,16,46,16,5,3,2,7,46,10,4,,,,,,237,4,210,23,,,233,4,,,,,5
106040937,040937,OROVILLE HOSPITAL,General Acute Care Hospital,Butte,2767 Olive Hwy,Oroville,95966,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,100-149,District 4,District 3,Oroville/Palermo/Thermalito,Rural,4602,4382,,708,805,1490,1695,1161,1185,913,499,337,191,,294,298,367,115,,756,99,7055,,874,7882,228,,186,827,,29,,,,203,133,,2,7598,6,,,,,4641,1898,527,1384,534,,14,607,6,388,11,65,88,80,552,385,133,1524,615,1349,17,399,208,435,268,1837,3,8984,107,8706,165,2,4,,8820,,45,90,29,6177,5870,,207,793,1254,1482,2176,2549,1814,1673,38,61,,347,344,389,107,,772,54,10034,,826,11105,116,,184,1386,167,401,39,,79,13,2,69,8678,1029,,,,,,4717,5733,306,1050,241,,1830,1329,55,29,461,13,504,3759,1463,233,347,148,563,289,178,659,3,51,129,4,,12047,218,11591,238,,,11622,315,110,,,,14
106040962,040962,ENLOE MEDICAL CENTER- ESPLANADE,General Acute Care Hospital,Butte,1531 Esplanade,Chico,95926,Non-profit Corporation (incl. Church-related),Level II,Emergency - Basic,,,200-299,District 4,District 3,Chapmantown/Chico,Urban,26569,23001,1,3315,4430,8991,7614,5836,5711,5510,4190,3275,699,,674,613,1611,515,88,10166,503,35401,,8905,39705,961,,324,1029,6,94,,1,,322,376,8,24,47298,85,,4,,,20803,12620,1271,11682,3185,10,51,3512,12,3541,89,618,683,288,1266,3304,1294,10473,2215,3441,103,1851,1214,4685,2239,8685,7,49571,309,46597,2610,53,2,,46692,5,2531,337,6,6242,6469,,129,576,786,928,1752,2728,2836,2846,53,77,,144,153,198,58,10,1681,82,10385,,1439,11037,235,,168,,491,1739,241,,1,48,362,59,8120,1481,,,,,1,2629,7639,82,2214,147,,2522,1864,131,24,595,15,1005,1803,1643,251,290,358,380,1169,296,279,21,3,57,5,,12711,108,11861,724,17,1,12174,467,70,,,,50
106050932,050932,MARK TWAIN MEDICAL CENTER,General Acute Care Hospital,Calaveras,768 Mountain Ranch Rd,San Andreas,95249,Non-profit Corporation (incl. Church-related),,Emergency - Basic,SMALL/RURAL,,1-49,District 8,District 5,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,Rural,4988,4358,1,594,754,1082,1250,1061,1358,1306,1098,772,72,,26,97,,119,81,475,36,8513,,546,8699,102,,508,238,,14,19,2,5,76,107,,2,8302,74,,,,,3596,2801,331,2225,394,,1,648,1,636,25,141,151,59,682,603,404,2257,398,503,35,342,76,843,414,1128,,9347,10,9200,105,25,7,4,9206,,41,87,9,391,427,,2,20,51,56,87,188,192,222,,,,2,3,,7,5,33,2,766,,45,770,3,,73,23,21,161,14,3,1,3,4,4,380,129,,,,2,,185,524,20,81,8,,120,114,4,,55,,39,183,79,22,13,7,22,114,32,13,,1,,,,818,2,802,13,1,,791,19,7,1,,,8
106060870,060870,COLUSA MEDICAL CENTER,General Acute Care Hospital,Colusa,199 E Webster St,Colusa,95932,Investor - Limited Liability Company,,Emergency - Standby,SMALL/RURAL,,1-49,District 4,District 3,Colusa,Rural,2296,2101,,472,567,666,688,567,495,421,301,153,67,,32,43,69,143,,95,77,3938,,2052,2343,,2,209,102,,5,,,1,94,20,,,3954,7,,5,,,2235,749,217,742,454,,7,233,,295,8,144,78,54,119,190,109,1214,153,268,4,139,65,441,273,603,,4397,3,3607,776,,11,,4308,,9,80,,280,214,,1,20,27,42,65,94,110,135,,,,10,2,14,22,,8,3,435,,139,355,,,50,33,12,21,3,,2,1,,,282,90,,,,,,104,317,16,47,10,,81,48,8,,37,1,47,111,25,9,10,,18,64,18,12,,1,4,,,494,1,411,82,,,486,5,3,,,,4
106070924,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,General Acute Care Hospital,Contra Costa,2500 Alhambra Ave,Martinez,94553,City or County,,Emergency - Basic,,,150-199,District 3,District 14,Crockett/Hercules/Martinez West/Pinole/Port Costa/Richmond Northeast/Rodeo,Urban,16088,16966,,989,2608,6333,7114,5274,5050,3719,1138,526,303,,119,2672,5913,615,228,11676,1177,10654,,12948,18869,1237,,1187,212,6,4,3,19,124,585,2174,27,60,28574,79,,,,,9739,4037,12651,2984,3637,6,14,1329,10,1333,92,382,245,367,2634,1391,1167,3543,8329,2297,51,1027,672,1268,1139,5747,17,33054,1679,25170,6173,30,2,,30925,8,1978,131,12,1655,1980,,54,422,541,487,729,794,352,224,32,,,22,372,638,56,36,1217,8,1286,,1237,2367,31,,208,6,39,6,5,,56,48,,255,2884,127,1,,,,,2274,1021,59,175,106,,545,588,43,5,262,6,191,355,161,651,70,82,99,209,119,110,32,10,91,,6,3635,213,2719,701,2,,3190,434,6,4,,1,26
106070934,070934,SUTTER DELTA MEDICAL CENTER,General Acute Care Hospital,Contra Costa,3901 Lone Tree Way,Antioch,94509,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,100-149,District 7,District 11,Brentwood Central and West/Oakley,Urban,18436,14797,,2754,3248,5688,5940,4425,4373,3181,1761,1304,559,,80,1348,9770,704,813,7362,144,13012,,10306,22704,223,,618,427,32,89,29,7,30,63,266,1,60,31469,141,1,,,,17722,5389,1115,5762,3245,,27,2250,6,2179,151,553,565,311,540,1949,1109,6499,1289,2548,65,1505,969,3169,1473,6073,3,33233,638,29271,3264,45,15,,31610,1,1169,198,255,2772,2743,,56,245,427,588,905,1261,1060,935,20,18,,22,268,1208,86,180,835,35,2881,,1168,4299,48,,265,267,191,1196,140,2,,13,13,51,2768,608,1,,,,,1667,2711,145,883,109,,1369,683,89,7,331,3,335,1102,366,107,58,76,143,510,99,185,12,4,36,,,5515,204,4873,419,9,10,5214,237,36,27,1,,30
